_id,_masterChatId,_roomId,_chapterId,_scriptKey,_title,_firstLineValue,_noticeValue,_appearStampIdList,_masterReleaseLabelId
100100201,1001,2,100100201,1001_2_1,Honoka (Birthday 2023),Honoka is online,Honoka is online,"stamp_00_00000_0009,stamp_00_00000_0048,stamp_00_00000_0053,stamp_00_00000_0060,stamp_00_00000_0061,stamp_00_00000_0066,stamp_00_00000_0077,stamp_00_00000_0079,stamp_00_00000_0088",123080302
100100301,1001,3,100100301,1001_3_1,Honoka (Birthday 2023),Honoka: HAPPY BIRTHDAY!,Honoka: HAPPY BIRTHDAY!,"stamp_00_00000_0005,stamp_00_00000_0009,stamp_00_00000_0012,stamp_00_00000_0059,stamp_00_00000_0060,stamp_00_00000_0066,stamp_00_00000_0084,stamp_00_00000_0089",1
100100401,1001,16,100100401,1001_16_1,Honoka (New Year's 2024),Honoka: Happy New Year!,Honoka: Happy New Year!,"stamp_00_00000_0004,stamp_00_00000_0060,stamp_00_00000_0076,stamp_01_01001_0003",324010140
100100501,1001,17,100100501,1001_17_1,Honoka Valentine 2024,"Honoka: Listen, listen..!","Honoka: Hey, can you hear me out for a sec?","stamp_00_00000_0006,stamp_00_00000_0007,stamp_00_00000_0017,stamp_00_00000_0054",324021434
100100701,1001,7,100100701,1001_7_1,Honoka (April 2023),Honoka: Spring has sprung!,Honoka: Spring has sprung!,stamp_00_00000_0056,1
100100801,1001,8,100100801,1001_8_1,Honoka (May 2023),"Honoka: So hey,","Honoka: So hey,",stamp_00_00000_0076,1
100100901,1001,9,100100901,1001_9_1,Honoka (June 2023),Honoka: Phew...,Honoka: Phew...,"stamp_00_00000_0002,stamp_00_00000_0009,stamp_00_00000_0087,stamp_01_01001_0003",323061304
100101001,1001,10,100101001,1001_10_1,Honoka (July 2023),Honoka: Summer vacation is finally here!,Honoka: Summer vacation is finally here!,"stamp_00_00000_0046,stamp_00_00000_0076,stamp_00_00000_0090",323072107
100101101,1001,11,100101101,1001_11_1,Honoka (Summer Vacation 2023),Honoka: Hey heyyy.,Honoka: Hey heyyy.,"stamp_00_00000_0011,stamp_00_00000_0039,stamp_00_00000_0081",323082003
100101201,1001,12,100101201,1001_12_1,Honoka (September 2023),"Honoka: Hey, got a minute?","Honoka: Hey, got a minute?",stamp_00_00000_0060,323092104
100101301,1001,13,100101301,1001_13_1,Honoka (Halloween 2023),Honoka: Trick or treat!,Honoka: Trick or treat!,stamp_00_00000_0007,323103132
100101401,1001,14,100101401,1001_14_1,Honoka (November 2023),Honoka: Hey there.,Honoka: Hey there.,"stamp_00_00000_0038,stamp_00_00000_0039",323111603
100101501,1001,15,100101501,1001_15_1,Honoka (Christmas 2023),Honoka: Merry Christmas!,Honoka: Merry Christmas!,"stamp_00_00000_0007,stamp_00_00000_0017,stamp_00_00000_0046,stamp_00_00000_0077,stamp_00_00000_0092",323122413
100101801,1001,18,100101801,1001_18_1,Honoka (White Day 2024),Honoka: Today's White Day!,Honoka: Today's White Day!,"stamp_00_00000_0020,stamp_00_00000_0076",324031435
100200101,1002,1,100200101,1002_1_1,Eli (DM),Eli is online,Eli is online,"stamp_00_00000_0001,stamp_00_00000_0005,stamp_00_00000_0009,stamp_00_00000_0090",1
100200102,1002,1,100200102,1002_1_2,Eli (DM),Eli: Do you have a minute?,Eli: Do you have a minute?,"stamp_00_00000_0008,stamp_00_00000_0048,stamp_00_00000_0060,stamp_00_00000_0077,stamp_00_00000_0091",1
100200103,1002,1,100200103,1002_1_3,Eli (DM),Eli is online,Eli is online,"stamp_00_00000_0001,stamp_00_00000_0003,stamp_00_00000_0005,stamp_00_00000_0061,stamp_00_00000_0092",1
100200104,1002,1,100200104,1002_1_4,Eli (DM),Eli: Hey there. Got a second?,Eli: Hey there. Got a second?,"stamp_00_00000_0016,stamp_00_00000_0029,stamp_00_00000_0059,stamp_00_00000_0080,stamp_00_00000_0081,stamp_00_00000_0085,stamp_00_00000_0088,stamp_00_00000_0091,stamp_00_00000_0092",1
100200105,1002,1,100200105,1002_1_5,Eli (DM),Eli: Do you have time for a quick chat?,Eli: Do you have time for a quick chat?,"stamp_00_00000_0004,stamp_00_00000_0005,stamp_00_00000_0029,stamp_00_00000_0080,stamp_00_00000_0088,stamp_00_00000_0091,stamp_00_00000_0095",1
100200106,1002,1,100200106,1002_1_6,Eli (DM),Eli is online,Eli is online,"stamp_00_00000_0005,stamp_00_00000_0008,stamp_00_00000_0014,stamp_00_00000_0029,stamp_00_00000_0037,stamp_00_00000_0046,stamp_00_00000_0048,stamp_00_00000_0057,stamp_00_00000_0088,stamp_00_00000_0093,stamp_00_00000_0095",1
100200107,1002,1,100200107,1002_1_7,Eli (DM),Eli: Do you have time to chat?,Eli: Do you have time to chat?,"stamp_00_00000_0004,stamp_00_00000_0022,stamp_00_00000_0024,stamp_00_00000_0037,stamp_00_00000_0045,stamp_00_00000_0049,stamp_00_00000_0052,stamp_00_00000_0081,stamp_00_00000_0082,stamp_00_00000_0090,stamp_00_00000_0094,stamp_01_01002_0005",1
100200108,1002,1,100200108,1002_1_8,Eli (DM),Eli is online,Eli is online,"stamp_00_00000_0001,stamp_00_00000_0008,stamp_00_00000_0011,stamp_00_00000_0053,stamp_00_00000_0055,stamp_00_00000_0059",1
100200109,1002,1,100200109,1002_1_9,Eli (DM),Eli is online,Eli is online,"stamp_00_00000_0008,stamp_00_00000_0057,stamp_00_00000_0059,stamp_00_00000_0060,stamp_00_00000_0092,stamp_00_00000_0094,stamp_00_00000_0095",1
100200110,1002,1,100200110,1002_1_10,Eli (DM),Eli is online,Eli is online,"stamp_00_00000_0001,stamp_00_00000_0014,stamp_00_00000_0015,stamp_00_00000_0016,stamp_00_00000_0017,stamp_00_00000_0034,stamp_00_00000_0055,stamp_00_00000_0082,stamp_00_00000_0085,stamp_00_00000_0093,stamp_00_00000_0094",1
100200111,1002,1,100200111,1002_1_11,Eli (DM),Eli sent a sticker,Eli sent a sticker,"stamp_00_00000_0009,stamp_00_00000_0020,stamp_00_00000_0025,stamp_00_00000_0037,stamp_00_00000_0051,stamp_00_00000_0059,stamp_00_00000_0060,stamp_00_00000_0090,stamp_00_00000_0094",1
100200112,1002,1,100200112,1002_1_12,Eli (DM),Eli: Do you have time to chat?,Eli: Do you have time to chat?,"stamp_00_00000_0005,stamp_00_00000_0050,stamp_00_00000_0052,stamp_00_00000_0078,stamp_00_00000_0091",1
100200113,1002,1,100200113,1002_1_13,Eli (DM),Eli: Listen to this!,Eli: Listen to this!,"stamp_00_00000_0011,stamp_00_00000_0021,stamp_00_00000_0048,stamp_00_00000_0053,stamp_00_00000_0055,stamp_00_00000_0057,stamp_00_00000_0059,stamp_00_00000_0060,stamp_00_00000_0090",1
100200114,1002,1,100200114,1002_1_14,Eli (DM),Eli is online,Eli is online,"stamp_00_00000_0008,stamp_00_00000_0009,stamp_00_00000_0026,stamp_00_00000_0087,stamp_00_00000_0088,stamp_00_00000_0092,stamp_00_00000_0095",1
100200115,1002,1,100200115,1002_1_15,Eli (DM),Eli is online,Eli is online,"stamp_00_00000_0003,stamp_00_00000_0022,stamp_00_00000_0037,stamp_00_00000_0048,stamp_00_00000_0050,stamp_00_00000_0057,stamp_00_00000_0071,stamp_00_00000_0081,stamp_00_00000_0082,stamp_00_00000_0088",1
100200201,1002,2,100200201,1002_2_1,Eli (Birthday 2023),Eli is online,Eli is online,"stamp_00_00000_0009,stamp_00_00000_0021,stamp_00_00000_0025,stamp_00_00000_0037,stamp_00_00000_0053,stamp_00_00000_0079",123102102
100200301,1002,3,100200301,1002_3_1,Eli (Birthday 2023),Eli: Happy birthday!,Eli: Happy birthday!,"stamp_00_00000_0019,stamp_00_00000_0059,stamp_00_00000_0079,stamp_00_00000_0088",1
100200401,1002,16,100200401,1002_16_1,Eli: (New Year's 2024),Eli: Happy New Year,Eli: Happy New Year,,324010141
100200501,1002,17,100200501,1002_17_1,Eri Valentine 2024,Eri: Thanks for the Valentine's Day chocolates today!,Eli: Thanks for the Valentine's chocolates today.,"stamp_00_00000_0005,stamp_00_00000_0038,stamp_00_00000_0057,stamp_00_00000_0079,stamp_00_00000_0088",324021435
100200701,1002,7,100200701,1002_7_1,Eli (April 2023),Eli is online,Eli is online,"stamp_00_00000_0010,stamp_00_00000_0048,stamp_00_00000_0060,stamp_00_00000_0094",1
100200801,1002,8,100200801,1002_8_1,Eli (May 2023),"Eli: Oh, listen to this!","Eli: Oh, listen to this!","stamp_00_00000_0088,stamp_00_00000_0091",1
100200901,1002,9,100200901,1002_9_1,Eli (June 2023),Eli is online,Eli is online,"stamp_00_00000_0029,stamp_00_00000_0057",323060804
100201001,1002,10,100201001,1002_10_1,Eli (July 2023),Eli: It's been really hot lately—are you feeling okay?,Eli: It's been really hot lately—are you feeling okay?,"stamp_00_00000_0048,stamp_00_00000_0083,stamp_00_00000_0092,stamp_01_01001_0003",323072405
100201101,1002,11,100201101,1002_11_1,Eli (Summer Vacation 2023),Eli: Why does everyone love scary stories in the summertime...,Eli: Why does everyone love scary stories in the summertime...,stamp_00_00000_0016,323080703
100201201,1002,12,100201201,1002_12_1,Eli (September 2023),Eli: So I went to that place selling seasonal cakes with Nozomi and Nico.,Eli: So I went to that place selling seasonal cakes with Nozomi and Nico.,stamp_00_00000_0020,323092503
100201301,1002,13,100201301,1002_13_1,Eli (Halloween 2023),Eli is online,Eli is online,"stamp_00_00000_0005,stamp_00_00000_0009,stamp_00_00000_0048,stamp_00_00000_0050,stamp_00_00000_0088",323103133
100201401,1002,14,100201401,1002_14_1,Eli (November 2023),Eli: It's feeling like autumn!,Eli: It's feeling like autumn!,"stamp_00_00000_0037,stamp_00_00000_0056",323112003
100201501,1002,15,100201501,1002_15_1,Eli (Christmas 2023),Eli is online,Eli is online,"stamp_00_00000_0048,stamp_00_00000_0050,stamp_00_00000_0088",323122414
100201801,1002,18,100201801,1002_18_1,Eli (White Day 2024),Eli: Thanks for the White Day gift today.,Eli: Thanks for the White Day gift today.,stamp_00_00000_0009,324031436
100300101,1003,1,100300101,1003_1_1,Kotori (DM),Kotori: Hey! It's Kotori.,Kotori: Hey! It's Kotori.,"stamp_00_00000_0077,stamp_00_00000_0079,stamp_00_00000_0088",1
100300102,1003,1,100300102,1003_1_2,Kotori (DM),Kotori is online,Kotori is online,"stamp_00_00000_0005,stamp_00_00000_0008,stamp_00_00000_0037,stamp_00_00000_0059,stamp_00_00000_0077,stamp_00_00000_0093",1
100300103,1003,1,100300103,1003_1_3,Kotori (DM),Kotori sent a sticker,Kotori sent a sticker,"stamp_00_00000_0025,stamp_00_00000_0059,stamp_00_00000_0088,stamp_00_00000_0094",1
100300104,1003,1,100300104,1003_1_4,Kotori (DM),Kotori sent an image,Kotori sent an image,"stamp_00_00000_0009,stamp_00_00000_0068,stamp_00_00000_0077,stamp_00_00000_0089",1
100300105,1003,1,100300105,1003_1_5,Kotori (DM),Kotori sent a sticker,Kotori sent a sticker,"stamp_00_00000_0001,stamp_00_00000_0017,stamp_00_00000_0025,stamp_00_00000_0027,stamp_00_00000_0061,stamp_00_00000_0078,stamp_00_00000_0079,stamp_00_00000_0080,stamp_00_00000_0081,stamp_00_00000_0084,stamp_00_00000_0091,stamp_00_00000_0093",1
100300106,1003,1,100300106,1003_1_6,Kotori (DM),Kotori is online,Kotori is online,"stamp_00_00000_0003,stamp_00_00000_0005,stamp_00_00000_0009,stamp_00_00000_0017,stamp_00_00000_0029,stamp_00_00000_0059,stamp_00_00000_0077,stamp_00_00000_0079,stamp_01_01003_0001",1
100300107,1003,1,100300107,1003_1_7,Kotori (DM),Kotori: Hiya.,Kotori: Hiya.,"stamp_00_00000_0001,stamp_00_00000_0009,stamp_00_00000_0019,stamp_00_00000_0037,stamp_00_00000_0049,stamp_00_00000_0077",1
100300108,1003,1,100300108,1003_1_8,Kotori (DM),Kotori is online,Kotori is online,"stamp_00_00000_0009,stamp_00_00000_0059,stamp_00_00000_0091",1
100300109,1003,1,100300109,1003_1_9,Kotori (DM),Kotori is online,Kotori is online,"stamp_00_00000_0014,stamp_00_00000_0015,stamp_00_00000_0017,stamp_00_00000_0049,stamp_00_00000_0079,stamp_00_00000_0082,stamp_00_00000_0088",1
100300110,1003,1,100300110,1003_1_10,Kotori (DM),Kotori sent a sticker,Kotori sent a sticker,"stamp_00_00000_0059,stamp_00_00000_0088",1
100300111,1003,1,100300111,1003_1_11,Kotori (DM),Kotori sent a sticker,Kotori sent a sticker,"stamp_00_00000_0005,stamp_00_00000_0069,stamp_00_00000_0077,stamp_00_00000_0080,stamp_00_00000_0094,stamp_01_01003_0001",1
100300112,1003,1,100300112,1003_1_12,Kotori (DM),Kotori: What happens next?,Kotori: What happens next?,,1
100300113,1003,1,100300113,1003_1_13,Kotori (DM),"Kotori: Sorry about earlier, I'm really embarrassed.","Kotori: Sorry about earlier, I'm really embarrassed.","stamp_00_00000_0075,stamp_00_00000_0080",1
100300114,1003,1,100300114,1003_1_14,Kotori (DM),Kotori is online,Kotori is online,"stamp_00_00000_0085,stamp_00_00000_0095",1
100300115,1003,1,100300115,1003_1_15,Kotori (DM),Kotori is online,Kotori is online,"stamp_00_00000_0016,stamp_00_00000_0027,stamp_00_00000_0029,stamp_00_00000_0050,stamp_00_00000_0077,stamp_00_00000_0079,stamp_00_00000_0081,stamp_00_00000_0090",1
100300201,1003,2,100300201,1003_2_1,Kotori (Birthday 2023),Kotori is online,Kotori is online,"stamp_00_00000_0009,stamp_00_00000_0021,stamp_00_00000_0037,stamp_00_00000_0038,stamp_00_00000_0060,stamp_00_00000_0079,stamp_00_00000_0081,stamp_00_00000_0088",123091202
100300301,1003,3,100300301,1003_3_1,Kotori (Birthday 2023),Kotori sent a sticker,Kotori sent a sticker,"stamp_00_00000_0005,stamp_00_00000_0009,stamp_00_00000_0021,stamp_00_00000_0029,stamp_00_00000_0048,stamp_00_00000_0059,stamp_00_00000_0061,stamp_00_00000_0077,stamp_00_00000_0084,stamp_00_00000_0094",1
100300401,1003,16,100300401,1003_16_1,Kotori (New Year's 2024),Kotori: Happy New Year,Kotori: Happy New Year,"stamp_00_00000_0008,stamp_00_00000_0057",324010142
100300501,1003,17,100300501,1003_17_1,Kotori Valentine 2024,Kotori: Happy Valentine's Day!,Kotori: Happy Valentine's!,"stamp_00_00000_0008,stamp_00_00000_0009,stamp_00_00000_0079",324021436
100300701,1003,7,100300701,1003_7_1,Kotori (April 2023),Kotori is online,Kotori is online,"stamp_00_00000_0009,stamp_00_00000_0057,stamp_00_00000_0095",1
100300801,1003,8,100300801,1003_8_1,Kotori (May 2023),Kotori sent a sticker,Kotori sent a sticker,stamp_01_01003_0001,1
100300901,1003,9,100300901,1003_9_1,Kotori (June 2023),Kotori: So I got a letter from somebody who came to the last live show.,Kotori: So I got a letter from somebody who came to the last live show.,,323060403
100301001,1003,10,100301001,1003_10_1,Kotori (July 2023),"Kotori: Hey, got a minute? There's something I want to ask you about.","Kotori: Hey, got a minute? There's something I want to ask you about.",,323071203
100301101,1003,11,100301101,1003_11_1,Kotori (Summer Vacation 2023),Kotori sent a sticker,Kotori sent a sticker,"stamp_00_00000_0079,stamp_01_01003_0001",323080704
100301201,1003,12,100301201,1003_12_1,Kotori (September 2023),Kotori is online,Kotori is online,"stamp_00_00000_0052,stamp_00_00000_0053,stamp_00_00000_0060,stamp_01_01001_0003",323092804
100301301,1003,13,100301301,1003_13_1,Kotori (Halloween 2023),Kotori: Hi!,Kotori: Hi!,stamp_00_00000_0092,323103134
100301401,1003,14,100301401,1003_14_1,Kotori (November 2023),Kotori sent a sticker,Kotori sent a sticker,"stamp_00_00000_0010,stamp_00_00000_0088,stamp_01_01003_0001",323112603
100301501,1003,15,100301501,1003_15_1,Kotori (Christmas 2023),Kotori: Merry Christmas!,Kotori: Merry Christmas!,"stamp_00_00000_0021,stamp_00_00000_0038,stamp_00_00000_0079",323122526
100301801,1003,18,100301801,1003_18_1,Kotori (White Day 2024),Kotori: Thanks for the White Day gift today!,Kotori: Thanks for the White Day gift today!,"stamp_00_00000_0038,stamp_00_00000_0050,stamp_00_00000_0056",324031437
100400101,1004,1,100400101,1004_1_1,Umi (DM),Umi is online,Umi is online,,1
100400102,1004,1,100400102,1004_1_2,Umi (DM),Umi is online,Umi is online,stamp_00_00000_0034,1
100400103,1004,1,100400103,1004_1_3,Umi (DM),Umi: Are you around by any chance?,Umi: Are you around by any chance?,stamp_00_00000_0048,1
100400104,1004,1,100400104,1004_1_4,Umi (DM),Umi is online,Umi is online,"stamp_00_00000_0059,stamp_00_00000_0090",1
100400105,1004,1,100400105,1004_1_5,Umi (DM),Umi: Sorry to keep you waiting.,Umi: Sorry to keep you waiting.,"stamp_00_00000_0008,stamp_00_00000_0009,stamp_00_00000_0037",1
100400106,1004,1,100400106,1004_1_6,Umi (DM),Umi sent a sticker,Umi sent a sticker,"stamp_00_00000_0001,stamp_00_00000_0006,stamp_00_00000_0008,stamp_00_00000_0011,stamp_00_00000_0025,stamp_00_00000_0040,stamp_00_00000_0059,stamp_01_01004_0002",1
100400107,1004,1,100400107,1004_1_7,Umi (DM),Umi is online,Umi is online,"stamp_00_00000_0059,stamp_00_00000_0093",1
100400108,1004,1,100400108,1004_1_8,Umi (DM),"Umi: That reminds me, I believe you said you were looking for a sport to do, right?","Umi: That reminds me, I believe you said you were looking for a sport to do, right?","stamp_00_00000_0017,stamp_00_00000_0080",1
100400109,1004,1,100400109,1004_1_9,Umi (DM),Umi sent a sticker,Umi sent a sticker,"stamp_00_00000_0059,stamp_00_00000_0084",1
100400110,1004,1,100400110,1004_1_10,Umi (DM),Umi is online,Umi is online,"stamp_00_00000_0001,stamp_00_00000_0008,stamp_00_00000_0009,stamp_00_00000_0037,stamp_00_00000_0054",1
100400111,1004,1,100400111,1004_1_11,Umi (DM),Umi: Finished!,Umi: Finished!,"stamp_00_00000_0001,stamp_00_00000_0005,stamp_00_00000_0048,stamp_00_00000_0078",1
100400112,1004,1,100400112,1004_1_12,Umi (DM),Umi: Sorry for contacting you so late.,Umi: Sorry for contacting you so late.,"stamp_00_00000_0001,stamp_00_00000_0003,stamp_00_00000_0008,stamp_00_00000_0059,stamp_00_00000_0092",1
100400113,1004,1,100400113,1004_1_13,Umi (DM),"Umi: Finally, tomorrow is the big performance.","Umi: Finally, tomorrow is the big performance.",stamp_00_00000_0049,1
100400114,1004,1,100400114,1004_1_14,Umi (DM),Umi is online,Umi is online,stamp_00_00000_0009,1
100400115,1004,1,100400115,1004_1_15,Umi (DM),Umi is online,Umi is online,"stamp_00_00000_0001,stamp_00_00000_0009,stamp_00_00000_0011,stamp_00_00000_0017,stamp_00_00000_0029,stamp_00_00000_0037,stamp_00_00000_0060,stamp_00_00000_0090",1
100400301,1004,3,100400301,1004_3_1,Umi (Birthday 2023),Umi: I apologize for sending this so late.,Umi: I apologize for sending this so late.,stamp_00_00000_0005,1
100400401,1004,16,100400401,1004_16_1,Umi (New Year's 2024),Umi: Happy New Year to you,Umi: Happy New Year to you,"stamp_00_00000_0009,stamp_00_00000_0095",324010143
100400501,1004,17,100400501,1004_17_1,Umi Valentine 2024,Umi: Thank you for the Valentine's Day chocolates today!,Umi: Thank you for the Valentine's Day chocolates today.,"stamp_00_00000_0048,stamp_00_00000_0089",324021437
100400701,1004,7,100400701,1004_7_1,Umi (April 2023),Umi: Things are finally feeling like spring.,Umi: Things are finally feeling like spring.,,1
100400801,1004,8,100400801,1004_8_1,Umi (May 2023),Umi sent an image,Umi sent an image,,1
100400901,1004,9,100400901,1004_9_1,Umi (June 2023),Umi is online,Umi is online,,323061602
100401001,1004,10,100401001,1004_10_1,Umi (July 2023),Umi: Hello.,Umi: Hello.,"stamp_00_00000_0056,stamp_00_00000_0093",323072406
100401101,1004,11,100401101,1004_11_1,Umi (Summer Vacation 2023),"Umi: Oh dear, I have distressing news!","Umi: Oh dear, I have distressing news!",,323082403
100401201,1004,12,100401201,1004_12_1,Umi (September 2023),Umi: Hello.,Umi: Hello.,"stamp_00_00000_0004,stamp_00_00000_0095",323090303
100401301,1004,13,100401301,1004_13_1,Umi (Halloween 2023),Umi is online,Umi is online,stamp_00_00000_0008,323103135
100401401,1004,14,100401401,1004_14_1,Umi (November 2023),Umi: Are you ready for our next BBQ?,Umi: Are you ready for our next BBQ?,,323111604
100401501,1004,15,100401501,1004_15_1,Umi (Christmas 2023),Umi is online,Umi is online,stamp_00_00000_0009,323122415
100401801,1004,18,100401801,1004_18_1,Umi (White Day 2024),Umi: Thank you for the White Day gift today.,Umi: Thank you for the White Day gift today.,stamp_00_00000_0054,324031438
100500101,1005,1,100500101,1005_1_1,Rin (DM),Rin is online,Rin is online,"stamp_00_00000_0005,stamp_00_00000_0007,stamp_00_00000_0049,stamp_00_00000_0061,stamp_00_00000_0088,stamp_00_00000_0090",1
100500102,1005,1,100500102,1005_1_2,Rin (DM),Rin sent a sticker,Rin sent a sticker,"stamp_00_00000_0046,stamp_00_00000_0049,stamp_00_00000_0093",1
100500103,1005,1,100500103,1005_1_3,Rin (DM),Rin is online,Rin is online,"stamp_00_00000_0006,stamp_00_00000_0007,stamp_00_00000_0010,stamp_00_00000_0017,stamp_00_00000_0019,stamp_00_00000_0046,stamp_00_00000_0088",1
100500104,1005,1,100500104,1005_1_4,Rin (DM),Rin is online,Rin is online,"stamp_00_00000_0004,stamp_00_00000_0012,stamp_00_00000_0036,stamp_00_00000_0037,stamp_00_00000_0039,stamp_00_00000_0048,stamp_00_00000_0053,stamp_00_00000_0060,stamp_00_00000_0084,stamp_00_00000_0093,stamp_01_01005_0007",1
100500105,1005,1,100500105,1005_1_5,Rin (DM),Rin is online,Rin is online,"stamp_00_00000_0004,stamp_00_00000_0015,stamp_00_00000_0037,stamp_00_00000_0038,stamp_00_00000_0053,stamp_00_00000_0056,stamp_00_00000_0059,stamp_00_00000_0060",1
100500106,1005,1,100500106,1005_1_6,Rin (DM),Rin sent a sticker,Rin sent a sticker,"stamp_00_00000_0007,stamp_00_00000_0059",1
100500107,1005,1,100500107,1005_1_7,Rin (DM),Rin is online,Rin is online,"stamp_00_00000_0006,stamp_00_00000_0036,stamp_00_00000_0037,stamp_00_00000_0049,stamp_00_00000_0080,stamp_00_00000_0084,stamp_00_00000_0093",1
100500108,1005,1,100500108,1005_1_8,Rin (DM),Rin sent a sticker,Rin sent a sticker,"stamp_00_00000_0059,stamp_00_00000_0060",1
100500109,1005,1,100500109,1005_1_9,Rin (DM),Rin is online,Rin is online,"stamp_00_00000_0021,stamp_00_00000_0038,stamp_00_00000_0094",1
100500110,1005,1,100500110,1005_1_10,Rin (DM),Rin is online,Rin is online,"stamp_00_00000_0007,stamp_00_00000_0014,stamp_00_00000_0019,stamp_00_00000_0027,stamp_00_00000_0036,stamp_00_00000_0037,stamp_00_00000_0076,stamp_00_00000_0084,stamp_00_00000_0090",1
100500111,1005,1,100500111,1005_1_11,Rin (DM),Rin sent a sticker,Rin sent a sticker,"stamp_00_00000_0014,stamp_00_00000_0016",1
100500112,1005,1,100500112,1005_1_12,Rin (DM),Rin sent a sticker,Rin sent a sticker,"stamp_00_00000_0005,stamp_00_00000_0059,stamp_00_00000_0077",1
100500113,1005,1,100500113,1005_1_13,Rin (DM),Rin sent a sticker,Rin sent a sticker,"stamp_00_00000_0005,stamp_00_00000_0007,stamp_00_00000_0026,stamp_00_00000_0029,stamp_00_00000_0046,stamp_00_00000_0050,stamp_00_00000_0059",1
100500114,1005,1,100500114,1005_1_14,Rin (DM),Rin sent a sticker,Rin sent a sticker,"stamp_00_00000_0007,stamp_00_00000_0011,stamp_00_00000_0012,stamp_00_00000_0025,stamp_00_00000_0036,stamp_00_00000_0037,stamp_00_00000_0039,stamp_00_00000_0069,stamp_00_00000_0085",1
100500115,1005,1,100500115,1005_1_15,Rin (DM),Rin is online,Rin is online,"stamp_00_00000_0005,stamp_00_00000_0010,stamp_00_00000_0011,stamp_00_00000_0026,stamp_00_00000_0036,stamp_00_00000_0084",1
