_id,_name,_category,_detailText,_priority,_spriteName,_masterReleaseLabelId
4293000049,Title: SIF 4th Anniversary,4293,A title to commemorate SIF's 4th anniversary.,49,title_s_0000_00000_0049,1
4293000050,SIF Thanksgiving 2017,4293,A title to commemorate SIF Thanksgiving 2017.,50,title_s_0000_00000_0050,1
4293000051,Title: HAPPY PARTY TRAIN TOUR,4293,A title to commemorate Aqours' second live show.,51,title_s_0000_00000_0051,1
4293000052,Title: HAPPY PARTY TRAIN TOUR: NAGOYA,4293,A title to commemorate Aqours' second live show.,52,title_s_0000_00000_0052,1
4293000053,Title: HAPPY PARTY TRAIN TOUR: KOBE,4293,A title to commemorate Aqours' second live show.,53,title_s_0000_00000_0053,1
4293000054,Title: HAPPY PARTY TRAIN TOUR: SAITAMA,4293,A title to commemorate Aqours' second live show.,54,title_s_0000_00000_0054,1
4293000055,Title: Aqours Club Activities Live Show & Fan Meeting,4293,A special title to commemorate the Aqours Club Activities Live Show & Fan Meeting.,55,title_s_0000_00000_0055,1
4293000056,Title: Aqours Club Activities Live Show & Fan Meeting: Osaka,4293,A title to commemorate the Aqours Club Activities Live Show & Fan Meeting: Osaka.,56,title_s_0000_00000_0056,1
4293000057,Title: Aqours Club Activities Live Show & Fan Meeting: Sapporo,4293,A title to commemorate the Aqours Club Activities Live Show & Fan Meeting: Sapporo.,57,title_s_0000_00000_0057,1
4293000058,Title: Aqours Club Activities Live Show & Fan Meeting: Numazu,4293,A title to commemorate the Aqours Club Activities Live Show & Fan Meeting: Numazu.,58,title_s_0000_00000_0058,1
4293000059,Title: Aqours Club Activities Live Show & Fan Meeting: Fukuoka,4293,A title to commemorate the Aqours Club Activities Live Show & Fan Meeting: Fukuoka.,59,title_s_0000_00000_0059,1
4293000060,Title: Aqours Club Activities Live Show & Fan Meeting: Nagoya,4293,A title to commemorate the Aqours Club Activities Live Show & Fan Meeting: Nagoya.,60,title_s_0000_00000_0060,1
4293000061,Title: Aqours Club Activities Live Show & Fan Meeting: Chiba,4293,A title to commemorate the Aqours Club Activities Live Show & Fan Meeting: Chiba.,61,title_s_0000_00000_0061,1
4293000062,Title: SIF AC1 1st Anniversary,4293,A title to commemorate SIF AC's 1st anniversary.,62,title_s_0000_00000_0062,1
4293000063,Title: Mito Sea x SIF,4293,A special title commemorating the Izu-Mito Sea Paradise & SIF collaboration.,63,title_s_0000_00000_0063,1
4293000064,Title: I Went to Mito Sea!,4293,Proof you went to Izu-Mito Sea Paradise!,64,title_s_0000_00000_0064,1
4293000065,3rd Walking Rally: Walrus,4293,Proof of completing Chapter 1 of the 3rd Walking Rally.,65,title_s_0000_00000_0065,1
4293000066,3rd Walking Rally: Dolphin Monument,4293,Proof of completing Chapter 4 of the 3rd Walking Rally.,66,title_s_0000_00000_0066,1
4293000067,3rd Walking Rally: Uchichi Cookie,4293,Proof of completing Chapter 7 of the 3rd Walking Rally.,67,title_s_0000_00000_0067,1
4293000068,Title: SIF AC 1st Anniversary: Honoka,4293,A special Honoka title to commemorate the SIF AC 1st anniversary.,68,title_s_0000_00000_0068,1
4293000069,Title: SIF AC 1st Anniversary: Eli,4293,A special Eli title to commemorate the SIF AC 1st anniversary.,69,title_s_0000_00000_0069,1
4293000070,Title: SIF AC 1st Anniversary: Kotori,4293,A special Kotori title to commemorate the SIF AC 1st anniversary.,70,title_s_0000_00000_0070,1
4293000071,Title: SIF AC 1st Anniversary: Umi,4293,A special Umi title to commemorate the SIF AC 1st anniversary.,71,title_s_0000_00000_0071,1
4293000072,Title: SIF AC 1st Anniversary: Rin,4293,A special Rin title to commemorate the SIF AC 1st anniversary.,72,title_s_0000_00000_0072,1
4293000073,Title: SIF AC 1st Anniversary: Maki,4293,A special Maki title to commemorate the SIF AC 1st anniversary.,73,title_s_0000_00000_0073,1
4293000074,Title: SIF AC 1st Anniversary: Nozomi,4293,A special Nozomi title to commemorate the SIF AC 1st anniversary.,74,title_s_0000_00000_0074,1
4293000075,Title: SIF AC 1st Anniversary: Hanayo,4293,A special Hanayo title to commemorate the SIF AC 1st anniversary.,75,title_s_0000_00000_0075,1
4293000076,Title: SIF AC 1st Anniversary: Nico,4293,A special Nico title to commemorate the SIF AC 1st anniversary.,76,title_s_0000_00000_0076,1
4293000077,"Happy Birthday, Honoka!",4293,August 3rd is Honoka Kosaka's birthday. ♪,77,title_s_0000_00000_0077,1
4293000078,"Happy Birthday, Eli!",4293,October 21st is Eli Ayase's birthday. ♪,78,title_s_0000_00000_0078,1
4293000079,"Happy Birthday, Kotori!",4293,September 12th is Kotori Minami's birthday. ♪,79,title_s_0000_00000_0079,1
4293000080,"Happy Birthday, Umi!",4293,March 15th is Umi Sonoda's birthday. ♪,80,title_s_0000_00000_0080,1
4293000081,"Happy Birthday, Rin!",4293,November 1st is Rin Hoshizora's birthday. ♪,81,title_s_0000_00000_0081,1
4293000082,"Happy Birthday, Maki!",4293,April 19th is Maki Nishikino's birthday. ♪,82,title_s_0000_00000_0082,1
4293000083,"Happy Birthday, Nozomi!",4293,June 9th is Nozomi Tojo's birthday. ♪,83,title_s_0000_00000_0083,1
4293000084,"Happy Birthday, Hanayo!",4293,January 17th is Hanayo Koizumi's birthday. ♪,84,title_s_0000_00000_0084,1
4293000085,"Happy Birthday, Nico!",4293,July 22nd is Nico Yazawa's birthday. ♪,85,title_s_0000_00000_0085,1
4293000086,"Happy Birthday, Chika!",4293,August 1st is Chika Takami's birthday. ♪,86,title_s_0000_00000_0086,1
4293000087,"Happy Birthday, Riko!",4293,September 19th is Riko Sakurauchi's birthday. ♪,87,title_s_0000_00000_0087,1
4293000088,"Happy Birthday, Kanan!",4293,February 10th is Kanan Matsuura's birthday. ♪,88,title_s_0000_00000_0088,1
4293000089,"Happy Birthday, Dia!",4293,January 1st is Dia Kurosawa's birthday. ♪,89,title_s_0000_00000_0089,1
4293000090,"Happy Birthday, You!",4293,April 17th is You Watanabe's birthday. ♪,90,title_s_0000_00000_0090,1
4293000091,"Happy Birthday, Yoshiko!",4293,July 13th is Yoshiko Tsushima's birthday. ♪,91,title_s_0000_00000_0091,1
4293000092,"Happy Birthday, Hanamaru!",4293,March 4th is Hanamaru Kunikida's birthday. ♪,92,title_s_0000_00000_0092,1
4293000093,"Happy Birthday, Mari!",4293,June 13th is Mari Ohara's birthday. ♪,93,title_s_0000_00000_0093,1
4293000094,"Happy Birthday, Ruby!",4293,September 21st Ruby Kurosawa's birthday. ♪,94,title_s_0000_00000_0094,1
4293000095,Title: Interested in Honoka,4293,A title for people who are interested in Honoka.,95,title_s_0000_00000_0095,1
4293000096,Title: Interested in Eli,4293,A title for people who are interested in Eli.,96,title_s_0000_00000_0096,1
4293000097,Title: Interested in Kotori,4293,A title for people who are interested in Kotori.,97,title_s_0000_00000_0097,1
4293000098,Title: Interested in Umi,4293,A title for people who are interested in Umi.,98,title_s_0000_00000_0098,1
4293000099,Title: Interested in Rin,4293,A title for people who are interested in Rin.,99,title_s_0000_00000_0099,1
4293000100,Title: Interested in Maki,4293,A title for people who are interested in Maki.,100,title_s_0000_00000_0100,1
4293000101,Title: Interested in Nozomi,4293,A title for people who are interested in Nozomi.,101,title_s_0000_00000_0101,1
4293000102,Title: Interested in Hanayo,4293,A title for people who are interested in Hanayo.,102,title_s_0000_00000_0102,1
4293000103,Title: Interested in Nico,4293,A title for people who are interested in Nico.,103,title_s_0000_00000_0103,1
4293000104,Title: Interested in Chika,4293,A title for people who are interested in Chika.,104,title_s_0000_00000_0104,1
4293000105,Title: Interested in Riko,4293,A title for people who are interested in Riko.,105,title_s_0000_00000_0105,1
4293000106,Title: Interested in Kanan,4293,A title for people who are interested in Kanan.,106,title_s_0000_00000_0106,1
4293000107,Title: Interested in Dia,4293,A title for people who are interested in Dia.,107,title_s_0000_00000_0107,1
4293000108,Title: Interested in You,4293,A title for people who are interested in You.,108,title_s_0000_00000_0108,1
4293000109,Title: Interested in Yoshiko,4293,A title for people who are interested in Yoshiko.,109,title_s_0000_00000_0109,1
4293000110,Title: Interested in Hanamaru,4293,A title for people who are interested in Hanamaru.,110,title_s_0000_00000_0110,1
4293000111,Title: Interested in Mari,4293,A title for people who are interested in Mari.,111,title_s_0000_00000_0111,1
4293000112,Title: Interested in Ruby,4293,A title for people who are interested in Ruby.,112,title_s_0000_00000_0112,1
4293000113,Title: Hardcore Honoka Fan,4293,"A title proving one's love for Honoka, the leader of μ's, who shines as brightly as the sun.",113,title_s_0000_00000_0113,1
4293000114,Title: Hardcore Eli Fan,4293,"A title proving one's love for Eli, the cute and clever student council president of Otonokizaka High.",114,title_s_0000_00000_0114,1
4293000115,Title: Hardcore Kotori Fan,4293,"A title proving one's love for Kotori, the cake-loving girl in charge of μ's' costumes.",115,title_s_0000_00000_0115,1
4293000116,Title: Hardcore Umi Fan,4293,"A title proving one's love for Umi, the most graceful, smart, and athletic member of μ's.",116,title_s_0000_00000_0116,1
4293000117,Title: Hardcore Rin Fan,4293,"A title proving one's love for Rin, who's awesome at sports and always full of energy.",117,title_s_0000_00000_0117,1
4293000118,Title: Hardcore Maki Fan,4293,"A title proving one's love for Maki, the hot-and-cold rich girl composer for μ's.",118,title_s_0000_00000_0118,1
4293000119,Title: Hardcore Nozomi Fan,4293,"A title proving one's love for Nozomi, the mysterious girl with a knack for fortune-telling.",119,title_s_0000_00000_0119,1
4293000120,Title: Hardcore Hanayo Fan,4293,"A title proving one's love for Hanayo, the shy girl mad for rice and idols.",120,title_s_0000_00000_0120,1
4293000121,Title: Hardcore Nico Fan,4293,"A title proving one's love for Nico, the family-oriented idol club president.",121,title_s_0000_00000_0121,1
4293000122,Title: Hardcore Chika Fan,4293,"A title proving one's love for Chika, the leader of Aqours and the youngest sister at the ryokan.",122,title_s_0000_00000_0122,1
4293000123,Title: Hardcore Riko Fan,4293,"A title proving one's love for Riko, the piano virtuoso who transferred from Tokyo.",123,title_s_0000_00000_0123,1
4293000124,Title: Hardcore Kanan Fan,4293,"A title proving one's love for Kanan, the sea-loving diver who's much like an older sister to everyone.",124,title_s_0000_00000_0124,1
4293000125,Title: Hardcore Dia Fan,4293,"A title proving one's love for Dia, the earnest, traditional Japanese Student Council President of Uranohoshi High.",125,title_s_0000_00000_0125,1
4293000126,Title: Hardcore You Fan,4293,"A title proving one's love for You, the high dive ace who dreams of becoming a ship's captain.",126,title_s_0000_00000_0126,1
4293000127,Title: Hardcore Yoshiko Fan,4293,"A title proving one's love for Yoshiko, the aloof fallen angel cursed with demonic bad luck.",127,title_s_0000_00000_0127,1
4293000128,Title: Hardcore Hanamaru Fan,4293,"A title proving one's love for Hanamaru, the gentle library assistant.",128,title_s_0000_00000_0128,1
4293000129,Title: Hardcore Mari Fan,4293,"A title proving one's love for Mari, the fearless shiny girl.",129,title_s_0000_00000_0129,1
4293000130,Title: Hardcore Ruby Fan,4293,"A title proving one's love for Ruby, the shy girl who loves her older sister.",130,title_s_0000_00000_0130,1
4293000131,Title: μ's Fan,4293,A title for μ's lovers!,131,title_s_0000_00000_0131,1
4293000132,Title: Hardcore μ's Fan,4293,A title for people who love μ's more than anything!,132,title_s_0000_00000_0132,1
4293000133,Title: Otonokizaka High Idol Study Club,4293,Proof of membership in the Otonokizaka High idol study club.,133,title_s_0000_00000_0133,1
4293000134,Title: Aqours Fan,4293,A title for Aqours lovers!,134,title_s_0000_00000_0134,1
4293000135,Title: Hardcore Aqours Fan,4293,A title for people who love Aqours more than anything!,135,title_s_0000_00000_0135,1
4293000136,Title: Uranohoshi High School Idol Club,4293,Proof of membership in the Uranohoshi High school idol club.,136,title_s_0000_00000_0136,1
4293000137,Title: Give It Your Best!,4293,A few words from Honoka! Part 1,137,title_s_0000_00000_0137,1
4293000138,Title: Harasho!,4293,A few words from Eli! Part 1,138,title_s_0000_00000_0138,1
4293000139,Title: Chun Chun♪,4293,A few words from Kotori! Part 1,139,title_s_0000_00000_0139,1
4293000140,Title: Fire My Love Arrow!,4293,A few words from Umi! Part 1,140,title_s_0000_00000_0140,1
4293000141,Title: Nya Nya Nya~,4293,A few words from Rin! Part 1,141,title_s_0000_00000_0141,1
4293000142,Title: What? Whatever!,4293,A few words from Maki! Part 1,142,title_s_0000_00000_0142,1
4293000143,Title: So Spiritual!,4293,A few words from Nozomi! Part 1,143,title_s_0000_00000_0143,1
4293000144,Title: Someone Save Me...,4293,A few words from Hanayo! Part 1,144,title_s_0000_00000_0144,1
4293000145,Title: Nico-Nico Niii!,4293,A few words from Nico! Part 1,145,title_s_0000_00000_0145,1
4293000146,Title: It's A Miracle!,4293,A few words from Chika! Part 1,146,title_s_0000_00000_0146,1
4293000147,Title: Riko-chan Beam!,4293,A few words from Riko! Part 1,147,title_s_0000_00000_0147,1
4293000148,Title: Let's Hug♪,4293,A few words from Kanan! Part 1,148,title_s_0000_00000_0148,1
4293000149,Title: Bzzzzt!,4293,A few words from Dia! Part 1,149,title_s_0000_00000_0149,1
4293000150,Title: Full Speed Ahead! Aye Aye!,4293,A few words from You! Part 1,150,title_s_0000_00000_0150,1
4293000151,"Title: Come, Little Demon♪",4293,A few words from Yoshiko! Part 1,151,title_s_0000_00000_0151,1
4293000152,"Title: It's the Future, Zura!",4293,A few words from Hanamaru! Part 1,152,title_s_0000_00000_0152,1
4293000153,Tite: Shiny☆,4293,A few words from Mari! Part 1,153,title_s_0000_00000_0153,1
4293000154,Title: I'll Do My Rubesty!,4293,A few words from Ruby! Part 1,154,title_s_0000_00000_0154,1
4293000903,Title: SIF National Tournament 2018 Online Qualifier,4293,Proof of participation in the SIF National Tournament 2018 online qualifier.,903,title_s_0000_00000_0903,1
4293000155,Title: Awashima Marine Park,4293,Proof you went to Awashima Marine Park!,155,title_s_0000_00000_0155,1
4293000156,Title: Escape from the Island Aquarium,4293,A special title to commemorate the Real Escape Game & Love Live! Sunshine!! collaboration.,156,title_s_0000_00000_0156,1
4293000157,4th Walking Rally: Ferry,4293,Proof of completing Chapter 1 of the 4th Walking Rally.,157,title_s_0000_00000_0157,1
4293000158,4th Walking Rally: Penguin,4293,Proof of completing Chapter 4 of the 4th Walking Rally.,158,title_s_0000_00000_0158,1
4293000159,4th Walking Rally: Spiny Lobster,4293,Proof of completing Chapter 6 of the 4th Walking Rally.,159,title_s_0000_00000_0159,1
4293000160,Title: SIF 5th Anniversary,4293,A special title to commemorate SIF's 5th anniversary.,160,title_s_0000_00000_0160,1
4293000161,Title: Hakodate Unit Carnival,4293,A title to commemorate the Hakodate Unit Carnival.,161,title_s_0000_00000_0161,1
4293000162,SIF Thanksgiving 2018: Osaka,4293,A title to commemorate SIF Thanksgiving 2018 in Osaka.,162,title_s_0000_00000_0162,1
4293000163,SIF Thanksgiving 2018: Numazu,4293,A title to commemorate SIF Thanksgiving 2018 in Numazu.,163,title_s_0000_00000_0163,1
4293000164,SIF Thanksgiving 2018: Tokyo,4293,A title to commemorate SIF Thanksgiving 2018 in Tokyo.,164,title_s_0000_00000_0164,1
4293000165,Title: WONDERFUL STORIES: SAITAMA,4293,A special title to commemorate Aqours' 3rd LIVE show.,165,title_s_0000_00000_0165,1
4293000166,Title: WONDERFUL STORIES,4293,A special title to commemorate Aqours' 3rd LIVE show.,166,title_s_0000_00000_0166,1
4293000167,Title: WONDERFUL STORIES: OSAKA,4293,A special title to commemorate Aqours' 3rd LIVE show.,167,title_s_0000_00000_0167,1
4293000168,Title: WONDERFUL STORIES: FUKUOKA,4293,A special title to commemorate Aqours' 3rd LIVE show.,168,title_s_0000_00000_0168,1
4293000169,5th Walking Rally: Aqours 3rd Love Live! Tour,4293,A title to commemorate completing the 5th Walking Rally missions.,169,title_s_0000_00000_0169,1
4293000170,SIF National Tournament 2018 Finalist,4293,Proof of being a finalist at the SIF National Tournament 2018.,170,title_s_0000_00000_0170,1
4293000171,SIF National Tournament 2018 Third Place,4293,Proof of winning 3rd place at the SIF National Tournament 2018.,171,title_s_0000_00000_0171,1
4293000172,SIF National Tournament 2018 Second Place,4293,Proof of winning 2nd place at the SIF National Tournament 2018.,172,title_s_0000_00000_0172,1
4293000173,SIF National Tournament 2018 Champion,4293,Proof of winning the SIF National Tournament 2018.,173,title_s_0000_00000_0173,1
4293000174,Title: Aqours Club Activities Live Show & Fan Meeting 2018,4293,A special title to commemorate the Aqours Club Activities Live Show & Fan Meeting.,174,title_s_0000_00000_0174,1
4293000175,Title: Aqours Club Activities Live Show & Fan Meeting 2018: Asahikawa,4293,A special title to commemorate the Aqours Club Activities Live Show & Fan Meeting: Asahikawa.,175,title_s_0000_00000_0175,1
4293000176,Title: Aqours Club Activities Live Show & Fan Meeting 2018: Nagoya,4293,A special title to commemorate the Aqours Club Activities Live Show & Fan Meeting: Nagoya.,176,title_s_0000_00000_0176,1
4293000177,Title: Aqours Club Activities Live Show & Fan Meeting 2018: Matsuyama,4293,A special title to commemorate the Aqours Club Activities Live Show & Fan Meeting: Matsuyama.,177,title_s_0000_00000_0177,1
4293000178,Title: Aqours Club Activities Live Show & Fan Meeting 2018: Fukuoka,4293,A special title to commemorate the Aqours Club Activities Live Show & Fan Meeting: Fukuoka.,178,title_s_0000_00000_0178,1
4293000179,Title: Aqours Club Activities Live Show & Fan Meeting 2018: Sendai,4293,A special title to commemorate the Aqours Club Activities Live Show & Fan Meeting: Sendai.,179,title_s_0000_00000_0179,1
4293000180,Title: Aqours Club Activities Live Show & Fan Meeting 2018: Chiba,4293,A special title to commemorate the Aqours Club Activities Live Show & Fan Meeting: Chiba.,180,title_s_0000_00000_0180,1
4293000181,Title: Aqours Club Activities Live Show & Fan Meeting 2018: Hiroshima,4293,A special title to commemorate the Aqours Club Activities Live Show & Fan Meeting: Hiroshima.,181,title_s_0000_00000_0181,1
4293000182,Title: Aqours Club Activities Live Show & Fan Meeting 2018: Kanazawa,4293,A special title to commemorate the Aqours Club Activities Live Show & Fan Meeting: Kanazawa.,182,title_s_0000_00000_0182,1
4293000183,Title: Aqours Club Activities Live Show & Fan Meeting 2018: Numazu,4293,A special title to commemorate the Aqours Club Activities Live Show & Fan Meeting: Numazu.,183,title_s_0000_00000_0183,1
4293000184,Title: Aqours Club Activities Live Show & Fan Meeting 2018: Osaka,4293,A special title to commemorate the Aqours Club Activities Live Show & Fan Meeting: Osaka.,184,title_s_0000_00000_0184,1
4293000185,Title: Aqours Club Activities Live Show & Fan Meeting 2018: Tokyo,4293,A special title to commemorate the Aqours Club Activities Live Show & Fan Meeting: Tokyo.,185,title_s_0000_00000_0185,1
4293000186,6th Walking Rally: Akiba,4293,A title to commemorate completing the 6th Walking Rally missions.,186,title_s_0000_00000_0186,1
4293000187,6th Walking Rally: Homuman,4293,"Specialty of Homura, the established Japanese sweets shop and Honoka's home.",187,title_s_0000_00000_0187,1
4293000188,Title: Puchiguru Love Live!,4293,A title to commemorate the collaboration with Puchiguru Love Live!,188,title_s_0000_00000_0188,1
4293000189,Title: Puchiguru Love Live!: Honoka,4293,A special Honoka title to commemorate the collaboration with Puchiguru Love Live!,189,title_s_0000_00000_0189,1
4293000190,Title: Puchiguru Love Live!: Eli,4293,A special Eli title to commemorate the collaboration with Puchiguru Love Live!,190,title_s_0000_00000_0190,1
4293000191,Title: Puchiguru Love Live!: Kotori,4293,A special Kotori title to commemorate the collaboration with Puchiguru Love Live!,191,title_s_0000_00000_0191,1
4293000192,Title: Puchiguru Love Live!: Umi,4293,A special Umi title to commemorate the collaboration with Puchiguru Love Live!,192,title_s_0000_00000_0192,1
4293000193,Title: Puchiguru Love Live!: Rin,4293,A special Rin title to commemorate the collaboration with Puchiguru Love Live!,193,title_s_0000_00000_0193,1
4293000194,Title: Puchiguru Love Live!: Maki,4293,A special Maki title to commemorate the collaboration with Puchiguru Love Live!,194,title_s_0000_00000_0194,1
4293000195,Title: Puchiguru Love Live!: Nozomi,4293,A special Nozomi title to commemorate the collaboration with Puchiguru Love Live!,195,title_s_0000_00000_0195,1
4293000196,Title: Puchiguru Love Live!: Hanayo,4293,A special Hanayo title to commemorate the collaboration with Puchiguru Love Live!,196,title_s_0000_00000_0196,1
4293000197,Title: Puchiguru Love Live!: Nico,4293,A special Nico title to commemorate the collaboration with Puchiguru Love Live!,197,title_s_0000_00000_0197,1
4293000198,Title: Puchiguru Love Live!: Chika,4293,A special Chika title to commemorate the collaboration with Puchiguru Love Live!,198,title_s_0000_00000_0198,1
4293000199,Title: Puchiguru Love Live!: Riko,4293,A special Riko title to commemorate the collaboration with Puchiguru Love Live!,199,title_s_0000_00000_0199,1
4293000200,Title: Puchiguru Love Live!: Kanan,4293,A special Kanan title to commemorate the collaboration with Puchiguru Love Live!,200,title_s_0000_00000_0200,1
4293000201,Title: Puchiguru Love Live!: Dia,4293,A special Dia title to commemorate the collaboration with Puchiguru Love Live!,201,title_s_0000_00000_0201,1
4293000202,Title: Puchiguru Love Live!: You,4293,A special You title to commemorate the collaboration with Puchiguru Love Live!,202,title_s_0000_00000_0202,1
4293000203,Title: Puchiguru Love Live!: Yoshiko,4293,A special Yoshiko title to commemorate the collaboration with Puchiguru Love Live!,203,title_s_0000_00000_0203,1
4293000204,Title: Puchiguru Love Live!: Hanamaru,4293,A special Hanamaru title to commemorate the collaboration with Puchiguru Love Live!,204,title_s_0000_00000_0204,1
4293000205,Title: Puchiguru Love Live!: Mari,4293,A special Mari title to commemorate the collaboration with Puchiguru Love Live!,205,title_s_0000_00000_0205,1
4293000206,Title: Puchiguru Love Live!: Ruby,4293,A special Ruby title to commemorate the collaboration with Puchiguru Love Live!,206,title_s_0000_00000_0206,1
4293000207,Title: Sailing to the Sunshine,4293,A special title to commemorate Aqours' fourth live show.,207,title_s_0000_00000_0207,1
4293000208,Title: Sailing to the Sunshine: Tokyo,4293,A special title to commemorate Aqours' fourth live show.,208,title_s_0000_00000_0208,1
4293000209,7th Walking Rally: Sailing to the Sunshine,4293,A title to commemorate completing the 7th Walking Rally missions.,209,title_s_0000_00000_0209,1
4293000210,7th Walking Rally: No. 10 Form Finger,4293,Go wild with the members at the live shows! You are Aqours' 10th member!,210,title_s_0000_00000_0210,1
4293000211,Title: SIF AC Next Stage Opening,4293,A special title to commemorate the opening of SIF AC Next Stage.,211,title_s_0000_00000_0211,1
4293000212,Title: SIFAS AC Supporter: Honoka,4293,A special Honoka title to support SIF AC.,212,title_s_0000_00000_0212,1
