_id,_type,_masterGroupId,_seasonNumber,_chapterNumber,_name,_summary,_imageName,_masterReleaseLabelId
120002,3,200,1,5,銀色の月が輝く丘に降臨,曜とルビィは衣装作りに悩んでいた。それを見た鞠莉は一行から案を募ることに。それでもまだしっくりこない様子のふたりに、鞠莉は「山へ行くわよ！」と言って……！？,chap_120002,223083106
130002,3,300,1,5,何が飛び出す！？ Halloween,ハロウィンライブが終わり次の楽しみがないと騒ぐランジュ。ハロウィンパーティでもしたら？というミアの提案に乗り、他メンバーにサプライズをしかけることに。話を聞いていたしずくと侑も仲間に加わって……！？,chap_130002,223093006
140003,3,400,1,5,ドキドキ！ 学校説明会,恋に大切な話があると集められた一行。どきどきするメンバーたちに、恋は大事な学校説明会の時期が始まると告げる。二期生四名がその実行委員を務めることになり……！？,chap_140003,223103106
110003,3,100,1,5,クリパは何度だって最高！,クリスマスムードが漂う秋葉原を見て、μ'sのみんなにクリスマスパーティを提案する穂乃果。パーティで一年を振り返る一行だが、絵里は「今年の私たちの活動はまだ終わってない」と言い……！？,chap_110003,223113006
120003,3,200,1,5,淡島ハッピーニューイヤー！,新年が待ち遠しいと今年残りの日数を指折り数える千歌。年末年始の予定は特にないと言うAqours一行に、鞠莉がひとつの提案をする。「ホテルオハラで、カウントダウン＆ニューイヤーパーティよ！」,chap_120003,223123105
130003,3,300,1,5,チョコレートは誰の手に！？,日本のバレンタインが『特別な人』にチョコレートをあげる日だと知ったランジュは、みんなで作って持ち寄ろうというニジガク一行に一石を投じる。「『特別な人』にはあげないの？　侑はどうするつもり？」,chap_130003,224013105
140004,3,400,1,5,想い通じるホワイトデー,ホワイトデーが近づいたある日、三年生へのお返しを悩んでいるメイを見かけるすみれと恋。ふたりは自然な形でメイをサポートできないかと考えて……――。,chap_140004,224030105
210001,1,100,1,3,μ'sの日常,スクールアイドルとして活動するµ'sのメンバーたちのほのぼのとした日常,,1
220001,1,200,1,3,Aqoursの日常,スクールアイドルとして活動するAqoursのメンバーたちのほのぼのとした日常,,1
230001,1,300,1,3,ニジガクの日常,スクールアイドルとして活動する虹ヶ咲学園スクールアイドル同好会のメンバーたちのほのぼのとした日常,chap_230001,1
240001,1,400,1,3,Liella!の日常,スクールアイドルとして活動するLiella!のメンバーたちのほのぼのとした日常,,1
230002,1,300,1,5,私のラブソング編　歩夢,ある日、ラブソングカーニバルへの招待状を受け取った歩夢。まずは作詞を頑張ろうとするも、コレというものがなくて……！？,chap_230002,223090601
230003,1,300,1,5,私のラブソング編　かすみ,ある日、ラブソングカーニバルへの招待状を受け取ったかすみ。かすみんの理想のラブをたくさん詰め込んだものにすると意気揚々で……！？,chap_230002,223090601
230004,1,300,1,5,私のラブソング編　しずく,ある日、ラブソングカーニバルへの招待状を受け取ったしずく。ヒントが欲しくて歩夢と映画に行くのだが、インスピレーションを得たのは歩夢とのやり取りで……！？,chap_230002,223090601
230005,1,300,1,5,私のラブソング編　果林,ある日、ラブソングカーニバルへの招待状を受け取った果林。他メンバーに果林なら大人っぽくて格好良くてクールでドラマチックな恋愛をするのだろうと噂されるが、その実は……！？,chap_230002,223090601
230006,1,300,1,5,私のラブソング編　愛,ある日、ラブソングカーニバルへの招待状を受け取った愛。世界中を愛する愛だが、今回は変化球！　みんなのことが大好きな気持ちが、ひとりだけに向いたらどうなるのだろうか……。,chap_230002,223090601
230007,1,300,1,5,私のラブソング編　彼方,ある日、ラブソングカーニバルへの招待状を受け取った彼方。しかし彼方は肝心のラブがわからないと困っていた。「誰か彼方ちゃんにラブのヒントくださ～い！」,chap_230002,223090601
230008,1,300,1,5,私のラブソング編　せつ菜,ある日、ラブソングカーニバルへの招待状を受け取ったせつ菜。小説やアニメで恋愛感情を学んではみるものの、中々自分の気持ちに落とし込めないせつ菜。しずくのアドバイスとは！？,chap_230002,223090601
230009,1,300,1,5,私のラブソング編　エマ,ある日、ラブソングカーニバルへの招待状を受け取ったエマ。どんなラブソングにしようか悩みながら部室へ行くと、そこにはランジュの姿があって……！？,chap_230002,223090601
230010,1,300,1,5,私のラブソング編　璃奈,ある日、ラブソングカーニバルへの招待状を受け取った璃奈。どんな曲にするか他のメンバーが悩む中、璃奈はもう内容を固めていて……！？,chap_230002,223090601
230011,1,300,1,5,私のラブソング編　栞子,ある日、ラブソングカーニバルへの招待状を受け取った栞子。かすみに自分はどんな恋愛をしそうか尋ねてみると、想定外の答えが返ってきた。「そんな管理みたいなことしませんっ！」,chap_230002,223090601
230012,1,300,1,5,私のラブソング編　ミア,ある日、ラブソングカーニバルへの招待状を受け取ったミア。今までもいろんなラブソングを作ってきたボクにかかれば一瞬で！　と、取り掛かったのだが……？,chap_230002,223090601
230013,1,300,1,5,私のラブソング編　ランジュ,ある日、ラブソングカーニバルへの招待状を受け取ったランジュ。恋愛を理解しているか怪訝な顔で聞いてくるミアにランジュは自信満々で答える。「恋愛っていうのはね……――」,chap_230002,223090601
240002,1,400,1,3,Liella!の日常　ライブ開催編,Liella!11名で行う新たなライブが決まった。パワーアップしたLiella!を見せようとメンバーたちは努力して……！？,chap_240002,224011902
