_id,_name,_detailText,_trigger,_triggerValue,_probability,_effectiveMilliSecs,_subTarget,_targetGroupId,_targetSchoolGrade,_effectType,_effectiveValues,_nameEn,_detailTextEn,_masterReleaseLabelId
10020003,みんなの人気者,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,20/19/19,31000/31000/31000,2000/2000/2000,0,0,0,4,113/115/117,A Fan Favorite,"For every {0} combos, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10020004,運動神経抜群,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,20/19/19,28000/28000/28000,2000/2000/2000,0,0,0,4,106/108/110,Exceptional Athlete,"For every {0} Rhythm Icons, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10020005,責任感,PERFECTを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,3,23/22/22,35000/35000/35000,2000/2000/2000,0,0,0,4,126/128/130,Sense of Duty,"For every {0} PERFECTs, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10020006,生徒会長,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECTの判定が{3}段階広くなる,1,24/23/23,31000/31000/31000,4000/4000/4000,0,0,0,5,1/1/1,Student Council President,"For every {0} Rhythm Icons, there's a {1}% chance to<br>widen the PERFECT window by {3} levels for {2} sec.",1
10020007,眠りにつく前,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,19/18/18,30000/30000/30000,2000/2000/2000,0,0,0,4,111/113/115,Before Sleeping,"For every {0} combos, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10020008,おでかけするわ！,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,20/19/19,28000/28000/28000,2000/2000/2000,0,0,0,4,106/108/110,I'm Heading Out!,"For every {0} Rhythm Icons, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10020009,応援しましょ♪,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,20/19/19,31000/31000/31000,2000/2000/2000,0,0,0,4,113/115/117,Let's Cheer Them On!,"For every {0} combos, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10020010,ハラショー♪,コンボを{0}回達成するごとに{1}%の確率で<br>体力が{3}回復する,2,27/26/25/24/23,44000/44000/44000/44000/44000,,0,0,0,6,2/2/2/2/3,Harasho!,"For every {0} combos, there's a {1}% chance to<br>restore {3} Stamina.",1
10020011,エリーの懺悔室,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,25/24/24/24/23,33000/33000/33000/33000/33000,2500/2500/2500/3000/3000,0,0,0,4,114/116/118/120/122,Eli's Confessional,"For every {0} Rhythm Icons, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10020012,狐の嫁入り,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,25/24/24/24/23,33000/33000/33000/33000/33000,2500/2500/2500/3000/3000,0,0,0,4,114/116/118/120/122,Glittering Fox Wedding,"For every {0} Rhythm Icons, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10020013,夕暮れの生徒会室,{0}秒ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,4,7000/6800/6800/6600/6600/6400/6400/6200/6200,37000/37200/37400/37600/37800/38000/38200/38400/38600,3000/3000/3000/3500/3500/3500/4000/4000/4000,0,0,0,4,122/124/126/128/130/132/134/136/138,Evening Student Council Room,"Every {0} sec, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10020014,亜里沙のイタズラ？,PERFECTを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,3,29/28/28/28/27/27/27/26/26,47000/47000/47000/47000/47000/47000/47000/47000/47000,3000/3000/3000/3500/3500/3500/4000/4000/4000,0,0,0,4,119/121/123/125/127/129/131/133/135,Alisa's Mischief?,"For every {0} PERFECTs, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10030001,おっとり柔らか,リズムアイコン{0}個ごとに{1}%の確率で<br>体力が{3}回復する,1,22/21/20,27000/27000/27000,,0,0,0,6,1/1/1,Soft and Gentle,"For every {0} Rhythm Icons, there's a {1}% chance to<br>restore {3} Stamina.",1
10030002,実はメイドさん,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,18/17/17,29000/29000/29000,2000/2000/2000,0,0,0,4,109/111/113,Actually a Maid,"For every {0} combos, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10030003,ことりと遊ぼう♪,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,19/18/18,30000/30000/30000,2000/2000/2000,0,0,0,4,111/113/115,Come Play with Kotori!,"For every {0} combos, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10030004,準備はできてる！,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,22/21/21,30000/30000/30000,2000/2000/2000,0,0,0,4,110/112/114,I'm Ready to Go!,"For every {0} Rhythm Icons, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10030005,いっくよー！,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECTの判定が{3}段階広くなる,1,24/23/23,31000/31000/31000,4000/4000/4000,0,0,0,5,1/1/1,Let's Go!,"For every {0} Rhythm Icons, there's a {1}% chance to<br>widen the PERFECT window by {3} levels for {2} sec.",1
10030006,♡のサイン,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,19/18/18,30000/30000/30000,2000/2000/2000,0,0,0,4,111/113/115,Heart Sign,"For every {0} combos, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10030007,おねむな時間,PERFECTを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,3,24/23/23,37000/37000/37000,2000/2000/2000,0,0,0,4,125/127/129,Sleepy Time,"For every {0} PERFECTs, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10030008,おでかけおめかし,リズムアイコン{0}個ごとに{1}%の確率で<br>体力が{3}回復する,1,24/23/22,29000/29000/29000,,0,0,0,6,1/1/1,Dressing Up for an Outing,"For every {0} Rhythm Icons, there's a {1}% chance to<br>restore {3} Stamina.",1
10030009,コートを駆け抜けて,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECT時のスコアが{3}増える,1,24/23/23,32000/32000/32000,2000/2000/2000,1,0,0,4,112/114/116,Flying Down the Court,"For every {0} Rhythm Icons, there's a {1}% chance to<br>raise your PERFECT score by {3} for {2} sec.",1
10030010,癒しの女神,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,25/24/24/24/23,39000/39000/39000/39000/39000,2500/2500/2500/3000/3000,0,0,0,4,113/115/117/119/121,Goddess of Healing,"For every {0} combos, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10030011,素敵なお菓子,リズムアイコン{0}個ごとに{1}%の確率で<br>体力が{3}回復する,1,20/19/18/17/16,25000/25000/25000/25000/25000,,0,0,0,6,2/2/2/2/3,Wonderful Treats,"For every {0} Rhythm Icons, there's a {1}% chance to<br>restore {3} Stamina.",1
10030012,ひつじのきもち,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,24/23/23/23/22,32000/32000/32000/32000/32000,2500/2500/2500/3000/3000,0,0,0,4,112/114/116/118/120,Feeling Like a Sheep,"For every {0} Rhythm Icons, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10030013,いらっしゃいませ♪,{0}秒ごとに{1}%の確率で<br>体力が{3}回復する,4,9000/8900/8800/8700/8600/8500/8400/8300/8200,54000/54200/54400/54600/54800/55000/55200/55400/55600,,0,0,0,6,3/3/3/3/4/4/4/4/5,Welcome!,"Every {0} sec, there's a {1}% chance to<br>restore {3} Stamina.",1
10030014,間違えないで〜！,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,25/24/24/24/23/23/23/22/22,39000/39000/39000/39000/39000/39000/39000/39000/39000,3000/3000/3000/3500/3500/3500/4000/4000/4000,0,0,0,4,113/115/117/119/121/123/125/127/129,Don't Mess Up!,"For every {0} combos, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10040001,大和撫子,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間μ’s所属のリズムアイコンのスコアが{3}増える,1,21/20/20,29000/29000/29000,2000/2000/2000,0,100,0,4,108/110/112,The Yamato Nadeshiko,"For every {0} Rhythm Icons, there's a {1}% chance to<br>raise the score of μ’s Rhythm Icons by {3} for {2} sec.",1
10040002,日舞の家元,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,20/19/19,31000/31000/31000,2000/2000/2000,0,0,0,4,113/115/117,Dancing Master,"For every {0} combos, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10040003,凛として,PERFECTを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,3,24/23/23,37000/37000/37000,2000/2000/2000,0,0,0,4,125/127/129,Dignified,"For every {0} PERFECTs, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10040004,厳しい練習,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間μ’s所属のリズムアイコンのスコアが{3}増える,1,23/22/22,31000/31000/31000,2000/2000/2000,0,100,0,4,111/113/115,Harsh Training,"For every {0} Rhythm Icons, there's a {1}% chance to<br>raise the score of μ’s Rhythm Icons by {3} for {2} sec.",1
10040005,身体をほぐす,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECTの判定が{3}段階広くなる,1,21/20/20,28000/28000/28000,4000/4000/4000,0,0,0,5,1/1/1,Loosen Up,"For every {0} Rhythm Icons, there's a {1}% chance to<br>widen the PERFECT window by {3} levels for {2} sec.",1
10040006,撫子の微笑,リズムアイコン{0}個ごとに{1}%の確率で<br>体力が{3}回復する,1,23/22/21,28000/28000/28000,,0,0,0,6,1/1/1,The Ideal Smile,"For every {0} Rhythm Icons, there's a {1}% chance to<br>restore {3} Stamina.",1
10040007,おやすみの挨拶,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,17/16/16,28000/28000/28000,2000/2000/2000,0,0,0,4,107/109/111,Good Night Greeting,"For every {0} combos, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10040008,ハイカーのやまびこ,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,22/21/21,30000/30000/30000,2000/2000/2000,0,0,0,4,110/112/114,Hiker's Echo,"For every {0} Rhythm Icons, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10040009,白衣でキリッと,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,20/19/19,31000/31000/31000,2000/2000/2000,0,0,0,4,113/115/117,Sharp in a White Coat,"For every {0} combos, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10040010,精神統一,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,21/20/20/20/19,32000/32000/32000/32000/32000,2500/2500/2500/3000/3000,0,0,0,4,115/117/119/121/123,A Focused Spirit,"For every {0} combos, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10040011,ラブバインド,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,21/20/20/20/19,29000/29000/29000/29000/29000,2500/2500/2500/3000/3000,0,0,0,4,108/110/112/114/116,Love Bind,"For every {0} Rhythm Icons, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10040012,幸運の白うさぎ,{0}秒ごとに{1}%の確率で<br>体力が{3}回復する,4,9000/8900/8800/8700/8600,54000/54200/54400/54600/54800,,0,0,0,6,2/2/2/2/3,Lucky White Rabbit,"Every {0} sec, there's a {1}% chance to<br>restore {3} Stamina.",1
10040013,無心へと,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,29/28/28/28/27/27/27/26/26,39000/39000/39000/39000/39000/39000/39000/39000/39000,3000/3000/3000/3500/3500/3500/4000/4000/4000,0,0,0,4,112/114/116/118/120/122/124/126/128,To Enlightenment,"For every {0} Rhythm Icons, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10040014,気持ちは一つ,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,20/19/19/19/18/18/18/17/17,31000/31000/31000/31000/31000/31000/31000/31000/31000,3000/3000/3000/3500/3500/3500/4000/4000/4000,0,0,0,4,113/115/117/119/121/123/125/127/129,Unified Feelings,"For every {0} combos, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10050001,体育会系,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,20/19/19,31000/31000/31000,2000/2000/2000,0,0,0,4,113/115/117,Athletic,"For every {0} combos, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10050002,いつでも明るく,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECT時のスコアが{3}増える,1,24/23/23,32000/32000/32000,2000/2000/2000,1,0,0,4,112/114/116,Always Be Cheerful,"For every {0} Rhythm Icons, there's a {1}% chance to<br>raise your PERFECT score by {3} for {2} sec.",1
10050003,元気にジャンプ☆,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,23/22/22,31000/31000/31000,2000/2000/2000,0,0,0,4,111/113/115,Joyful Jump!,"For every {0} Rhythm Icons, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10050004,準備万端,PERFECTを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,3,25/24/24,39000/39000/39000,2000/2000/2000,0,0,0,4,124/126/128,Good to Go,"For every {0} PERFECTs, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10050005,屋上練習,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,20/19/19,31000/31000/31000,2000/2000/2000,0,0,0,4,113/115/117,Rooftop Practice,"For every {0} combos, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10050006,よろしくにゃ♪,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECTの判定が{3}段階広くなる,1,23/22/22,30000/30000/30000,4000/4000/4000,0,0,0,5,1/1/1,Counting on Mew~!,"For every {0} Rhythm Icons, there's a {1}% chance to<br>widen the PERFECT window by {3} levels for {2} sec.",1
10050007,おやすみ準備,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,17/16/16,28000/28000/28000,2000/2000/2000,0,0,0,4,107/109/111,Getting Ready for Bed,"For every {0} combos, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10050008,レッツハイキング,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間μ’s所属のリズムアイコンのスコアが{3}増える,1,24/23/23,32000/32000/32000,2000/2000/2000,0,100,0,4,112/114/116,Let's Go Hiking!,"For every {0} Rhythm Icons, there's a {1}% chance to<br>raise the score of μ’s Rhythm Icons by {3} for {2} sec.",1
10050009,タイムを競う,リズムアイコン{0}個ごとに{1}%の確率で<br>体力が{3}回復する,1,21/20/19,26000/26000/26000,,0,0,0,6,1/1/1,Race Against Time,"For every {0} Rhythm Icons, there's a {1}% chance to<br>restore {3} Stamina.",1
10050010,μ'ｓの元気印,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間PERFECTの判定が{3}段階広くなる,2,25/24/24/24/23,43000/43000/43000/43000/43000,4500/4500/4500/5000/5000,0,0,0,5,1/1/1/1/2,μ's - Full of Energy!,"For every {0} combos, there's a {1}% chance to<br>widen the PERFECT window by {3} levels for {2} sec.",1
10050011,凛をご覧下さいにゃ♪,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,25/24/24/24/23,33000/33000/33000/33000/33000,2500/2500/2500/3000/3000,0,0,0,4,114/116/118/120/122,Check Out Rin-nyan~!,"For every {0} Rhythm Icons, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10050012,きまぐれにゃんこ,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,23/22/22/22/21,31000/31000/31000/31000/31000,2500/2500/2500/3000/3000,0,0,0,4,111/113/115/117/119,Fickle Kitten,"For every {0} Rhythm Icons, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10050013,きらめく屋上,コンボを{0}回達成するごとに{1}%の確率で<br>体力が{3}回復する,2,28/27/26/25/24/23/22/21/20,47000/47000/47000/47000/47000/47000/47000/47000/47000,,0,0,0,6,3/3/3/3/4/4/4/4/5,Dazzling Rooftop,"For every {0} combos, there's a {1}% chance to<br>restore {3} Stamina.",1
10050014,初めての手作りチョコ,PERFECTを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,3,29/28/28/28/27/27/27/26/26,47000/47000/47000/47000/47000/47000/47000/47000/47000,3000/3000/3000/3500/3500/3500/4000/4000/4000,0,0,0,4,119/121/123/125/127/129/131/133/135,My First Handmade Chocolate,"For every {0} PERFECTs, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10060001,大病院のお嬢様,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,18/17/17,29000/29000/29000,2000/2000/2000,0,0,0,4,109/111/113,Hospital Heiress,"For every {0} combos, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10060002,高飛車,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,22/21/21,30000/30000/30000,2000/2000/2000,0,0,0,4,110/112/114,On a High Horse,"For every {0} Rhythm Icons, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10060003,誇りを持って,リズムアイコン{0}個ごとに{1}%の確率で<br>体力が{3}回復する,1,24/23/22,29000/29000/29000,,0,0,0,6,1/1/1,With Pride,"For every {0} Rhythm Icons, there's a {1}% chance to<br>restore {3} Stamina.",1
10060004,強気で練習,PERFECTを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,3,23/22/22,35000/35000/35000,2000/2000/2000,0,0,0,4,126/128/130,Practice with Confidence,"For every {0} PERFECTs, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10060005,ストレッチから,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,17/16/16,28000/28000/28000,2000/2000/2000,0,0,0,4,107/109/111,Start with Stretching,"For every {0} combos, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10060006,果敢に意見,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECT時のスコアが{3}増える,1,23/22/22,31000/31000/31000,2000/2000/2000,1,0,0,4,111/113/115,Bold Opinion,"For every {0} Rhythm Icons, there's a {1}% chance to<br>raise your PERFECT score by {3} for {2} sec.",1
10060007,明日の予定は,コンボを{0}回達成するごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,2,19/18/18,30000/30000/30000,2000/2000/2000,0,0,0,4,111/113/115,Plans for Tomorrow,"For every {0} combos, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10060008,お嬢様のおでかけ,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,22/21/21,30000/30000/30000,2000/2000/2000,0,0,0,4,110/112/114,Young Lady's Outing,"For every {0} Rhythm Icons, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10060009,スパイラルを決めて,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間PERFECTの判定が{3}段階広くなる,1,20/19/19,27000/27000/27000,4000/4000/4000,0,0,0,5,1/1/1,Land the Spiral,"For every {0} Rhythm Icons, there's a {1}% chance to<br>widen the PERFECT window by {3} levels for {2} sec.",1
10060010,放課後の歌姫,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,24/23/23/23/22,32000/32000/32000/32000/32000,2500/2500/2500/3000/3000,0,0,0,4,112/114/116/118/120,After-School Diva,"For every {0} Rhythm Icons, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
10060011,秘密の診察室,リズムアイコン{0}個ごとに{1}%の確率で<br>{2}秒間リズムアイコンのスコアが{3}増える,1,21/20/20/20/19,29000/29000/29000/29000/29000,2500/2500/2500/3000/3000,0,0,0,4,108/110/112/114/116,Secret Examination Room,"For every {0} Rhythm Icons, there's a {1}% chance to<br>raise your Rhythm Icon Score by {3} for {2} sec.",1
