_id,_name,_nameRuby,_detailText,_category,_schoolGrade,_charaCategory,_masterGroupId,_spriteName,_displayOrder,_height,_bloodType,_birsday,_voiceActor,_imageColor,_imageColorDark,_nameRichtextGacha,_nameEn,_nameRubyEn,_detailTextEn,_bloodTypeEn,_birsdayEn,_voiceActorEn,_nameRichtextGachaEn,_masterReleaseLabelId
2002,桜内梨子,さくらうちりこ,大人っぽく落ち着いて見えるが実は慌て者で早とちりや勘違いをしてしまうことも。,2,2,1,203,2002,2002,160cm,A型,9月19日,逢田梨香子,FB697E,FB697E,<size=100>桜<size=80>内 <size=100>梨<size=80>子,Riko Sakurauchi,Riko Sakurauchi,"At first glance Riko seems mature and composed, but she's actually quite the worrier who jumps to conclusions and gets the wrong idea.",A,Sep 19,Rikako Aida,<size=100>R<size=80>iko<size=100>S<size=80>akurauchi,1
2003,松浦果南,まつうらかなん,大人っぽくサバサバした性格で、あまり物事にこだわりがない。落ち着いていて、どこかクールな雰囲気を纏っている。,2,3,1,202,2003,2003,162cm,O型,2月10日,諏訪ななか,02D09D,02D09D,<size=100>松<size=80>浦 <size=100>果<size=80>南,Kanan Matsuura,Kanan Matsuura,"Kanan is mature and laid-back, not one to fuss over things. She's calm and carries herself with a cool air.",O,Feb 10,Nanaka Suwa,<size=100>K<size=80>anan<size=100>M<size=80>atsuura,1
2004,黒澤ダイヤ,くろさわだいや,旧網元で地元でも有名な名家の子女で、学院の生徒会長を務める。プライドが高い完璧主義者で、中途半端や曲がったことは絶対に許さない。,2,3,1,202,2004,2004,162cm,A型,1月1日,小宮有紗,E0083B,E0083B,<size=100>黒<size=80>澤 <size=100>ダ<size=80>イヤ,Dia Kurosawa,Dia Kurosawa,"Dia comes from a renowned old family of former net masters and serves as the student council president. A proud perfectionist, she won't tolerate anything half-baked or dishonest.",A,Jan 1,Arisa Komiya,<size=100>D<size=80>ia<size=100>K<size=80>urosawa,1
2005,渡辺 曜,わたなべよう,考えるよりも先に身体が動くタイプ。フェリーの船長を父に持ち、自身も将来は船長になりたいと思っている。,2,2,1,201,2005,2005,157cm,AB型,4月17日,斉藤朱夏,07B0E8,07B0E8,<size=100>渡<size=80>辺 <size=100>曜<size=80>,You Watanabe,You Watanabe,"You acts before she thinks. Her father is a ferry captain, and she dreams of becoming one herself someday.",AB,Apr 17,Shuka Saito,<size=100>Y<size=80>ou<size=100>W<size=80>atanabe,1
2006,津島善子,つしまよしこ,"小悪魔風のファッションに身を包み、自らを""堕天使ヨハネ""と称する。都会の沼津出身。明るく物おじせず、気が利いて頭も良いが、ものすごく運が悪く、行く先々で想定外のトラブルに見舞われてしまう。",2,1,1,203,2006,2006,156cm,O型,7月13日,小林愛香,A9ACB2,A9ACB2,<size=100>津<size=80>島 <size=100>善<size=80>子,Yoshiko Tsushima,Yoshiko Tsushima,"Always dressed in a mischievous style, Yoshiko calls herself ""Yohane, the Fallen Angel."" She hails from the big city of Numazu. Bright, outgoing, witty, and clever—but incredibly unlucky, forever running into unexpected trouble wherever she goes.",O,Jul 13,Aika Kobayashi,<size=100>Y<size=80>oshiko<size=100>T<size=80>sushima,1
2007,国木田花丸,くにきだはなまる,読書好きで、特に日本文学をこよなく愛する文学少女。歌が得意で聖歌隊に所属している。周囲の人々に気を配る優しい性格。,2,1,1,202,2007,2007,152cm,O型,3月4日,高槻かなこ,FFC000,FFC000,<size=100>国<size=80>木田 <size=100>花<size=80>丸,Hanamaru Kunikida,Hanamaru Kunikida,"A bookworm with a special love for Japanese literature. Hanamaru is a gifted singer and member of the choir, and a kind girl who looks out for everyone around her.",O,Mar 4,Kanako Takatsuki,<size=100>H<size=80>anamaru<size=100>K<size=80>unikida,1
2008,小原鞠莉,おはらまり,ホテルチェーンを経営するイタリア系アメリカ人の父を持つハーフ。明るい性格で、個人行動が多い。どんなことがあっても絶対にめげない性格で、恐れを知らないチャレンジャー。,2,3,1,203,2008,2008,163cm,AB型,6月13日,鈴木愛奈,A132D9,A132D9,<size=100>小<size=80>原 <size=100>鞠<size=80>莉,Mari Ohara,Mari Ohara,"Mari is an upbeat, independent half-Italian American with a fearless spirit—she never backs down from a challenge! Her father runs a hotel chain.",AB,Jun 13,Aina Suzuki,<size=100>M<size=80>ari<size=100>O<size=80>hara,1
2009,黒澤ルビィ,くろさわるびぃ,泣き虫で臆病だけれど、名家のお嬢様だけあって芯は持っている。ずっとアイドルにあこがれていた。唯一の得意は裁縫。,2,1,1,201,2009,2009,154cm,A型,9月21日,降幡 愛,F143B4,F143B4,<size=100>黒<size=80>澤 <size=100>ル<size=80>ビィ,Ruby Kurosawa,Ruby Kurosawa,"Though shy and quick to cry, Ruby comes from a distinguished family and has a hidden core of strength. She's always dreamed of being an idol. Her one talent is sewing.",A,Sep 21,Ai Furihata,<size=100>R<size=80>uby<size=100>K<size=80>urosawa,1
3001,上原歩夢,うえはらあゆむ,何事にもコツコツ取り組む努力家。あることをきっかけにスクールアイドルをはじめる。,3,2,1,302,3001,3001,159cm,A型,3月1日,大西亜玖璃,F48099,F48099,<size=100>上<size=80>原 <size=100>歩<size=80>夢,Ayumu Uehara,Ayumu Uehara,Ayumu is a diligent hard worker who tackles everything step by step. A certain incident inspired her to become a school idol.,A,Mar 1,Aguri Onishi,<size=100>A<size=80>yumu<size=100>U<size=80>ehara,1
3002,中須かすみ,なかすかすみ,かわいいものが大好きで、スクールアイドルに対する憧れは人一倍強い。負けず嫌いな性格で、「かすかす」というあだ名で呼ばれると怒る。,3,1,1,303,3002,3002,155cm,B型,1月23日,相良茉優,EDDC00,D5C500,<size=100>中<size=80>須 <size=100>か<size=80>すみ,Kasumi Nakasu,Kasumi Nakasu,"A lover of all things cute, Kasumi has a passion for school idols like no other. Fiercely competitive, she gets upset if anyone calls her ""Kasukasu.""",B,Jan 23,Mayu Sagara,<size=100>K<size=80>asumi<size=100>N<size=80>akasu,1
3003,桜坂しずく,おうさかしずく,しっかり者の優等生で、演劇部とスクールアイドル同好会を兼部している。,3,1,1,302,3003,3003,157cm,A型,4月3日,前田佳織里,2CAED5,2CAED5,<size=90>桜<size=80>坂 <size=90>し<size=80>ずく,Shizuku Osaka,Shizuku Osaka,Shizuku is a dependable honor student who juggles both the Drama Club and the School Idol Club.,A,Apr 3,Kaori Maeda,<size=90>S<size=80>hizuku<size=90>O<size=80>saka,1
3004,朝香果林,あさかかりん,高校生離れしたルックスとプロポーションを持ち、読者モデルをしている。大人っぽい見た目とは裏腹に意外とピュアな一面も。,3,3,1,301,3004,3004,167cm,AB型,6月29日,久保田未夢,4A62D2,4A62D2,<size=100>朝<size=80>香 <size=100>果<size=80>林,Karin Asaka,Karin Asaka,"With looks and a figure well beyond her years, Karin works as a magazine model. Despite her grown-up appearance, she has a surprisingly innocent side.",AB,Jun 29,Miyu Kubota,<size=100>K<size=80>arin<size=100>A<size=80>saka,1
3005,宮下 愛,みやしたあい,運動神経が抜群で、様々な部の助っ人として活躍している。ノリの良い性格で面倒見がいいので友達が多い。,3,2,1,301,3005,3005,163cm,A型,5月30日,村上奈津実,F6663E,F6663E,<size=100>宮<size=80>下 <size=100>愛<size=80>,Ai Miyashita,Ai Miyashita,"Ai is a natural athlete who pitches in as a ringer for all kinds of clubs. Her easygoing, caring nature means she has loads of friends.",A,May 30,Natsumi Murakami,<size=100>A<size=80>i<size=100>M<size=80>iyashita,1
3006,近江彼方,このえかなた,いつも眠そうにしているが、料理をすることと妹をかわいがることに関しては情熱を燃やす。,3,3,1,303,3006,3006,158cm,O型,12月16日,鬼頭明里,A96398,A96398,<size=100>近<size=80>江 <size=100>彼<size=80>方,Kanata Konoe,Kanata Konoe,"Kanata always looks sleepy, but she's truly passionate about two things: cooking and doting on her little sister.",O,Dec 16,Akari Kito,<size=100>K<size=80>anata<size=100>K<size=80>onoe,1
3007,優木せつ菜,ゆうきせつな,元気いっぱいの笑顔と力強いパフォーマンスが持ち味のスクールアイドル。スクールアイドル活動で忙しいためか、「校内でその姿を見た人はいない」という噂がある。,3,2,1,302,3007,3007,154cm,O型,8月8日,林 鼓子,DC2235,DC2235,<size=100>優<size=80>木 <size=100>せ<size=80>つ菜,Setsuna Yuki,Setsuna Yuki,A school idol known for her beaming smile and powerful performances. Rumor has it she's so busy with idol activities that no one has ever spotted her on campus.,O,Aug 8,Coco Hayashi,<size=100>S<size=80>etsuna<size=100>Y<size=80>uki,1
3008,エマ・ヴェルデ,エマ・ヴェルデ,スクールアイドルに憧れて、スイスからやってきた留学生。おっとりマイペースで、故郷の山や自然を愛する心優しい女の子。,3,3,1,303,3008,3008,166cm,O型,2月5日,指出毬亜,7EC36E,7EC36E,<size=100>エ<size=80>マ・<size=100>ヴ<size=80>ェルデ,Emma Verde,Emma Verde,"Emma is an exchange student from Switzerland with a passion for school idols. A gentle, laid-back girl who loves the mountains and nature of her homeland.",O,Feb 5,Maria Sashide,<size=100>E<size=80>mma<size=100>V<size=80>erde,1
3009,天王寺璃奈,てんのうじりな,感情を顔に出すことが苦手なため不愛想に思われがちだが、本当は心豊かな女の子で人懐っこい。,3,1,1,303,3009,3009,149cm,B型,11月13日,田中ちえ美,A0A3BC,A0A3BC,<size=100>天<size=80>王寺 <size=100>璃<size=80>奈,Rina Tennoji,Rina Tennoji,"Rina struggles to show emotion on her face, so she can seem standoffish—but she's really a warm-hearted, friendly girl.",B,Nov 13,Chiemi Tanaka,<size=100>R<size=80>ina<size=100>T<size=80>ennoji,1
3010,三船栞子,みふねしおりこ,真面目な性格で「みんなのために」行動できる。ランジュとは幼馴染。,3,1,1,304,3010,3010,160cm,AB型,10月5日,小泉萌香,37C4A1,37C4A1,<size=100>三<size=80>船 <size=100>栞<size=80>子,Shioriko Mifune,Shioriko Mifune,"Serious and earnest, Shioriko always acts ""for everyone's sake."" She and Lanzhu have been friends since childhood.",AB,Oct 5,Moeka Koizumi,<size=100>S<size=80>hioriko<size=100>M<size=80>ifune,1
3011,ミア・テイラー,ミア・テイラー,NYCからやってきた留学生。世界的に有名な音楽一家テイラー家の娘で、14歳でありながら、飛び級で3年生に編入してきた。,3,3,1,304,3011,3011,156cm,AB型,12月6日,内田 秀,D7D6C9,B3B098,<size=100>ミ<size=80>ア・<size=100>テ<size=80>イラー,Mia Taylor,Mia Taylor,"Mia is an exchange student from NYC. The daughter of the world-famous Taylor music family, she skipped grades to enroll as a third-year despite being just 14.",AB,Dec 6,Shu Uchida,<size=100>M<size=80>ia<size=100>T<size=80>aylor,1
3012,鐘 嵐珠,ショウ・ランジュ,香港からやってきた留学生。かなりのお嬢様で、やることすべてパーフェクトな結果を出す。好きな食べ物は肉。,3,2,1,304,3012,3012,165cm,B型,2月15日,法元明菜,F7CBC7,E2B0AC,<size=100>鐘<size=80> <size=100>嵐<size=80>珠,Lanzhu Zhong,Lanzhu Zhong,"An exchange student from Hong Kong, Lanzhu is quite the young lady and delivers perfect results in everything she does. Her favorite food is meat.",B,Feb 15,Akina Homoto,<size=100>L<size=80>anzhu<size=100>Z<size=80>hong,1
4001,澁谷かのん,しぶやかのん,シャイだが、純粋に歌を愛する心と、人の気持ちになって考えることが出来る優しさを持ち、Liella!を引っ張っていく存在。,4,2,1,403,4001,4001,159cm,A型,5月1日,伊達さゆり,F57924,F57924,<size=100>澁<size=80>谷 <size=100>か<size=80>のん,Kanon Shibuya,Kanon Shibuya,"Though shy, Kanon truly loves singing from the bottom of her heart and has the empathy to understand others' feelings—often the one driving Liella! forward.",A,May 1,Sayuri Date,<size=100>K<size=80>anon<size=100>S<size=80>hibuya,1
4002,唐 可可,たんくぅくぅ,上海から結ヶ丘女子高等学校に入学した女の子。よく笑いよく泣く情熱的な女の子で、好きなものには一直線。可愛いものも大好きなLiella!の太陽のような存在。,4,2,1,404,4002,4002,159cm,O型,7月17日,Liyuu,85EDEC,29E2E0,<size=100>唐<size=80> <size=100>可<size=80>可,Keke Tang,Kuku-tan!,"A girl who moved from Shanghai to attend Yuigaoka Girls' High School. Keke laughs and cries easily, throws herself into whatever she loves, and adores cute things—the sunshine of Liella!",O,Jul 17,Liyuu,<size=100>K<size=80>eke<size=100>T<size=80>ang,1
4003,嵐 千砂都,あらしちさと,かのんの幼なじみで大親友。努力家で献身的な性格は誰からも好かれており、ダンス担当として、Liella!のレベルアップに貢献していく。丸いものが大好き。,4,2,1,405,4003,4003,155cm,B型,2月25日,岬 なこ,FF6E97,FF6E97,<size=100>嵐<size=80> <size=100>千<size=80>砂都,Chisato Arashi,Chisato Arashi,"Kanon's childhood friend and best friend. Her hardworking, devoted nature makes her beloved by all. As Liella!'s choreographer, she helps level up their dancing. Chisato loves all things round.",B,Feb 25,Nako Misaki,<size=100>C<size=80>hisato<size=100>A<size=80>rashi,1
4004,平安名すみれ,へあんなすみれ,高飛車で勝ち気な所もあるが、根は人の悲しみが分かる優しい子でもある。いざという時に意外な能力を発揮するLiella!のジョーカー的存在。実家は学校近くの神社。,4,2,1,403,4004,4004,161cm,AB型,9月28日,ペイトン尚未,70ED62,60E251,<size=100>平<size=80>安名 <size=100>す<size=80>みれ,Sumire Heanna,Sumire Heanna,"Sumire can be proud and headstrong, but at heart she's a kind girl who understands others' sadness. She's Liella!'s wildcard, showing surprising talent when it counts. Her family runs a shrine near the school.",AB,Sep 28,Naomi Payton,<size=100>S<size=80>umire<size=100>H<size=80>eanna,1
4005,葉月 恋,はづきれん,結ヶ丘女子高等学校の設立者の娘であり、幼い頃からピアノやフィギュアスケートなども得意なLiella!のエース。生徒会長も務め、落ち着いた物腰は生徒からも人気だが、世間知らずな一面も。,4,2,1,404,4005,4005,163cm,A型,11月24日,青山なぎさ,2020AB,2020AB,<size=100>葉<size=80>月 <size=100>恋<size=80>,Ren Hazuki,Ren Hazuki,"Daughter of Yuigaoka Girls' High School's founder, Ren is Liella!'s ace—skilled at piano, figure skating, and more since childhood. As student council president her calm manner makes her popular, though she can be a bit naive about the world.",A,Nov 24,Nagisa Aoyama,<size=100>R<size=80>en<size=100>H<size=80>azuki,1
4006,桜小路きな子,さくらこうじきなこ,大らかで明るく人当たりも柔らかな、おっとりした、という表現がよく合う女の子。一人東京の高校に出てくると決心し、結ヶ丘女子に入学してきた。,4,1,1,405,4006,4006,159cm,O型,4月10日,鈴原希実,F6EB41,C9BF29,<size=100>桜<size=80>小路 <size=100>き<size=80>な子,Kinako Sakurakoji,Kinako Sakurakoji,"Warm, cheerful, and gentle—""easygoing"" describes her perfectly. She resolved to attend high school in Tokyo on her own and enrolled at Yuigaoka Girls' High School.",O,Apr 10,Nozomi Suzuhara,<size=100>K<size=80>inako<size=100>S<size=80>akurakoji,1
4007,米女メイ,よねめめい,斜に構えた、一見とっつきにくい不良っぽい女の子。正義感が強く、間違ったことがあると毅然とした態度で立ち向かう一面も。,4,1,1,403,4007,4007,155cm,A型,10月29日,薮島朱音,F93535,F93535,<size=100>米<size=80>女 <size=100>メ<size=80>イ,Mei Yoneme,Mei Yoneme,"Mei comes off as aloof and a bit of a delinquent, seeming hard to approach at first—but she has a strong sense of justice and stands firm against anything wrong.",A,Oct 29,Akane Yabushima,<size=100>M<size=80>ei<size=100>Y<size=80>oneme,1
4008,若菜四季,わかなしき,子供の頃から無口であまり人と接することがなく、一人遊びが大好き。性格は冷静沈着。ミステリアスな雰囲気で感情を口にすることは少ないが、メンバーへの想いは人一倍強い。,4,1,1,405,4008,4008,161cm,B型,6月17日,大熊和奏,B4F6D8,75AD88,<size=100>若<size=80>菜 <size=100>四<size=80>季,Shiki Wakana,Shiki Wakana,"Quiet since childhood and keeping mostly to herself, Shiki loves playing alone. Calm and composed, she's mysterious and rarely voices her feelings—but her devotion to her bandmates is second to none.",B,Jun 17,Wakana Ookuma,<size=100>S<size=80>hiki<size=100>W<size=80>akana,1
4009,鬼塚夏美,おにつかなつみ,明るくて前向き、流行に敏感で、行動力がありなんでも挑戦してみるタイプの女の子。目的のためには手段を選ばない所もあり、裏から手を回す作戦を考えることもしばしば。,4,1,1,405,4009,4009,152cm,AB型,8月7日,絵森 彩,FC3ABA,FC3ABA,<size=100>鬼<size=80>塚 <size=100>夏<size=80>美,Natsumi Onitsuka,Natsumi Onitsuka,"Natsumi is bright, positive, trend-savvy, and a go-getter who'll try anything. She'll stop at nothing to reach her goals and often cooks up behind-the-scenes schemes.",AB,Aug 7,Aya Emori,<size=100>N<size=80>atsumi<size=100>O<size=80>nitsuka,1
4010,ウィーン・マルガレーテ,ウィーン・マルガレーテ,オーストリアから日本に留学してきた女の子。ラブライブ！出場をきっかけに結ヶ丘女子高等学校に編入。音楽センスに優れ素晴らしい歌声を持つが、負けん気が強すぎる所があり、周りと衝突することも。,4,1,1,404,4010,4010,161cm,A型,1月20日,結那,E09FF7,E09FF7,<size=100>ウ<size=80>ィーン・ <size=100>マ<size=80>ルガレーテ,Margarete Wien,Wien Margarete,"A girl who came from Austria to study in Japan. She transferred to Yuigaoka Girls' High School after Love Live! caught her eye. Margarete has superb musical sense and a wonderful voice, but her overly competitive streak can lead to clashes with others.",A,Jan 20,Yuina,<size=100>W<size=80>ien <size=100>M<size=80>argarete,223121502
4011,鬼塚冬毬,おにつかとまり,常に効率的な行動を心がけていて、無駄なことが大嫌い。物事をシビアに分析しがちで実現が難しいものに対して冷淡な目で見てしまう所も。姉である夏美のことが大好き。,4,1,1,405,4011,4011,163cm,B型,12月28日,坂倉 花,4CD2E2,4CD2E2,<size=100>鬼<size=80>塚 <size=100>冬<size=80>毬,Tomari Onitsuka,Tomari Onitsuka,"Tomari always aims to act efficiently and can't stand wasted effort. She tends to analyze things harshly and views hard-to-achieve goals with a cold eye. She adores her older sister, Natsumi.",B,Dec 28,Sakura Sakakura,<size=100>T<size=80>omari <size=100>O<size=80>nitsuka,223121502
6001,ヨハネ,ヨハネ,ヌマヅで占い屋を営む少女。こだわり屋で少々クセのある気質だが根は優しく、頼まれごとは断れない。,6,0,1,9901,6001,6001,156cm,－,7月13日,小林愛香,A9ACB2,A9ACB2,<size=100>ヨ<size=80>ハネ,Yohane,Yohane,"A girl who runs a fortune-telling shop in Numazu. She's particular and a little quirky, but kind at heart and unable to turn down a request.",－,Jul 13,Aika Kobayashi,<size=100>Y<size=80>ohane,223121403
6002,ハナマル,ハナマル,ヨハネの幼馴染。美味しいものが大好きで、屋台で手作りのお菓子などを売って暮らしている。,6,0,1,9901,6002,6002,152cm,－,3月4日,高槻かなこ,FFC000,FFC000,<size=100>ハ<size=80>ナマル,Hanamaru,Hanamaru,Yohane's childhood friend. She loves good food and makes a living selling handmade treats from a stall.,－,Mar 4,Kanako Takatsuki,<size=100>H<size=80>anamaru,223121403
6003,ダイヤ,ダイヤ,ヌマヅ行政局の執務長官。才色兼備で曲がったことは許さない完璧主義者。,6,0,1,9901,6003,6003,162cm,－,1月1日,小宮有紗,E0083B,E0083B,<size=100>ダ<size=80>イヤ,Dia,Dia,"The chief administrator of the Numazu Administrative Bureau. A brilliant, beautiful perfectionist with zero tolerance for wrongdoing.",－,Jan 1,Arisa Komiya,<size=100>D<size=80>ia,223121403
6004,ルビィ,ルビィ,妖精族の末裔。引っ込み思案な性格で、普段は人に見つからないように暮らしている。,6,0,1,9901,6004,6004,みかん5個分,－,9月21日,降幡 愛,F143B4,F143B4,<size=100>ル<size=80>ビィ,Ruby,Ruby,"A descendant of the fairy folk. Shy by nature, she usually lives out of sight.",－,Sep 21,Ai Furihata,<size=100>R<size=80>ubi,223121403
6005,チカ,チカ,ウチーラ地区にある老舗旅館の看板娘で３人姉妹の末っ子。人見知りせず、負けず嫌い。,6,0,1,9901,6005,6005,157cm,－,8月1日,伊波杏樹,FF700F,FF700F,<size=100>チ<size=80>カ,Chika,Chika,The poster girl of a long-established inn in the Uchira district and youngest of three sisters. Outgoing and fiercely competitive.,－,Aug 1,Anju Inami,<size=100>C<size=80>hika,223121403
6006,ヨウ,ヨウ,ヌマヅでメッセンジャーとして働く少女。いつも明るく元気印で、運動神経抜群。,6,0,1,9901,6006,6006,157cm,－,4月17日,斉藤朱夏,07B0E8,07B0E8,<size=100>ヨ<size=80>ウ,You,You,"A girl who works as a messenger in Numazu. Always bright and energetic, with amazing athletic ability.",－,Apr 17,Shuka Saito,<size=100>Y<size=80>ou,223121403
6007,カナン,カナン,ウチーラ地区にある工房を営むメカニック。海から拾ったガラクタを使って、修理や工作をして暮らしている。,6,0,1,9901,6007,6007,162cm,－,2月10日,諏訪ななか,02D09D,02D09D,<size=100>カ<size=80>ナン,Kanan,Kanon,A mechanic who runs a workshop in the Uchira district. She gets by repairing and crafting things from junk salvaged from the sea.,－,Feb 10,Nanaka Suwa,<size=100>K<size=80>anan,223121403
6008,リコ,リコ,ヌマヅの外からやってきた動物学者。落ち着いた性格だが、探究心旺盛でなりふり構わないことも。,6,0,1,9901,6008,6008,160cm,－,9月19日,逢田梨香子,FB697E,FB697E,<size=100>リ<size=80>コ,Riko,Riko,"A zoologist who came from outside Numazu. Calm by nature, but so driven by curiosity that she'll throw caution to the wind.",－,Sep 19,Rikako Aida,<size=100>R<size=80>iko,223121403
6009,マリ,マリ,ワーシマー島にある城に住む魔王家系の末裔。あまり人前には姿を現さない。,6,0,1,9901,6009,6009,163cm,－,6月13日,鈴木愛奈,A132D9,A132D9,<size=100>マ<size=80>リ,Mari,Mari,A descendant of the Demon Lord's line who lives in a castle on Wassimer Island. She rarely shows herself in public.,－,Jun 13,Aina Suzuki,<size=100>M<size=80>ari,223121403
5001,μ's,μ's,School Idol Festival(2013)のキャラクター。,OTHER,0,1,9000,5001,5001,,,？月？日,,888888,888888,μ's,μ's,μ's,Imported from School Idol Festival (2013).,,？月？日,,μ's,1
5002,宮下ココ,ココ,School Idol Festival(2013)のキャラクター。,OTHER,0,1,9000,5002,5002,,,6月2日,,888888,888888,宮下ココ,Coco Miyashita,Coco Miyashita,Imported from School Idol Festival (2013).,,Jun 2,,Coco Miyashita,1
